Mask,Prime,Word,Translation,corrAnsLexical
######,ba####,barato,cheap,1
########,ba######,batillón,NW,0
#####,be###,besar,kiss,1
#######,bi#####,bisagra,hinge,1
########,bi######,bizcocho,cake,1
#######,ca#####,cabello,hair,1
#######,ca#####,cadallo,NW,0
######,ca####,cadeña,NW,0
######,ca####,camisa,shirt,1
#######,ca#####,candado,padlock,1
######,ca####,canela,cinnamon,1
#######,ca#####,capillo,NW,0
########,ca######,cartinar,NW,0
######,ce####,cenefa,edging,1
######,ci####,cintro,NW,0
#######,cu#####,cuchara,spoon,1
#####,de###,decar,NW,0
#########,de#######,delantera,first position,1
#########,fa#######,fatacidad,NW,0
########,fo######,fomentar,promote,1
########,fr######,frondoso,leafy,1
#####,ga###,ganar,win,1
##########,ga########,garbardina,raincoat,1
######,gu####,guante,glove,1
########,ji######,jilguero,goldfinch,1
######,la####,lacayo,lackey,1
######,la####,ladrón,thief,1
#######,lam####,lampera,NW,0
######,lát###,látigo,whip,1
####,lau#,laud,lute,1
####,lor#,loro,parrot,1
########,mar#####,martillo,hammer,1
#####,mat##,matar,kill,1
########,mer#####,merodear,prowl,1
#####,mus##,musgo,moss,1
#####,nev##,nevar,snow,1
########,pan#####,pandilla,gang,1
#####,pau##,pauca,NW,0
#########,pel######,pellizcar,pinch,1
########,pem#####,pemición,NW,0
######,pés###,pésimo,abysmal,1
###########,pol########,polvoriento,dusty,1
####,poz#,pozo,well,1
#####,pri##,prisa,hurry,1
########,pul#####,pulmones,lungs,1
########,reb#####,rebuscar,rummage,1
#####,reg##,regar,water,1
#######,rom####,rompido,NW,0
#########,sec######,secuestro,kidnapping,1
####,sed#,seda,silk,1
######,tac###,tacaño,stingy,1
######,tem###,temblo,NW,0
###########,ter########,tergiversar,distort,1
#####,ter##,terzo,NW,0
#######,tib####,tiburón,shark,1
#####,tor##,torpe,clumsy,1
######,veg###,vegada,NW,0
#####,yac##,yacer,lie,1
######,yun###,yunque,anvil,1
######,zap###,zapato,shoe,1
