,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
0,seguro,se.ˈɣu.ɾo,1,CV,no,word,CarreirasPerea2002,670.8894230769231,,A,1.0,3.0,######,6.0,seg###,seg###,mismatch
1,bonito,bo.ˈni.to,1,CV,no,word,CarreirasPerea2002,92.93269230769229,,A,2.0,3.0,######,6.0,bon###,bon###,mismatch
2,molino,mo.ˈli.no,1,CV,no,word,CarreirasPerea2002,3.1730769230769234,,A,3.0,3.0,######,6.0,mol###,mol###,mismatch
3,pureza,pu.ˈɾe.sa,1,CV,no,word,CarreirasPerea2002,3.774038461538461,,A,4.0,3.0,######,6.0,pur###,pur###,mismatch
4,corona,ko.ˈɾo.na,1,CV,no,word,CarreirasPerea2002,13.173076923076925,,A,5.0,3.0,######,6.0,cor###,cor###,mismatch
5,barato,ba.ˈɾa.to,1,CV,no,word,CarreirasPerea2002,17.764423076923073,,A,6.0,3.0,######,6.0,bar###,bar###,mismatch
6,pesado,pe.ˈsa.ðo,1,CV,no,word,CarreirasPerea2002,19.591346153846157,,A,7.0,3.0,######,6.0,pes###,pes###,mismatch
7,docena,do.ˈse.na,1,CV,no,word,CarreirasPerea2002,15.456730769230768,,A,8.0,3.0,######,6.0,doc###,doc###,mismatch
8,penoso,pe.ˈno.so,1,CV,no,word,CarreirasPerea2002,2.067307692307692,,A,9.0,3.0,######,6.0,pen###,pen###,mismatch
9,recelo,re.ˈse.lo,1,CV,no,word,CarreirasPerea2002,0.28846153846153844,,A,10.0,3.0,######,6.0,rec###,rec###,mismatch
10,basura,ba.ˈsu.ɾa,1,CV,no,word,CarreirasPerea2002,112.93269230769229,,A,11.0,2.0,######,6.0,ba####,ba####,match
11,celoso,se.ˈlo.so,1,CV,no,word,CarreirasPerea2002,20.45673076923077,,A,12.0,2.0,######,6.0,ce####,ce####,match
12,gorila,ɡo.ˈɾi.la,1,CV,no,word,CarreirasPerea2002,4.543269230769232,,A,13.0,2.0,######,6.0,go####,go####,match
13,maleta,ma.ˈlɛ.ta,1,CV,no,word,CarreirasPerea2002,18.846153846153847,,A,14.0,2.0,######,6.0,ma####,ma####,match
14,parado,pa.ˈɾa.ðo,1,CV,no,word,CarreirasPerea2002,32.427884615384606,,A,15.0,2.0,######,6.0,pa####,pa####,match
15,resaca,re.ˈsa.ka,1,CV,no,word,CarreirasPerea2002,5.5048076923076925,,A,16.0,2.0,######,6.0,re####,re####,match
16,salado,sa.ˈla.ðo,1,CV,no,word,CarreirasPerea2002,1.4903846153846154,,A,17.0,2.0,######,6.0,sa####,sa####,match
17,senado,se.ˈna.ðo,1,CV,no,word,CarreirasPerea2002,9.927884615384617,,A,18.0,2.0,######,6.0,se####,se####,match
18,tamaño,ta.ˈma.ɲo,1,CV,no,word,CarreirasPerea2002,39.447115384615394,,A,19.0,2.0,######,6.0,ta####,ta####,match
19,vasija,ba.ˈsi.xa,1,CV,no,word,CarreirasPerea2002,1.5865384615384617,,A,20.0,2.0,######,6.0,va####,va####,match
20,medida,me.ˈði.ða,1,CV,no,word,CarreirasPerea2002,18.75,,A,21.0,3.0,######,6.0,med###,med###,mismatch
21,romano,ro.ˈma.no,1,CV,no,word,CarreirasPerea2002,5.769230769230768,,A,22.0,3.0,######,6.0,rom###,rom###,mismatch
22,casino,ka.ˈsi.no,1,CV,no,word,CarreirasPerea2002,15.264423076923075,,A,23.0,3.0,######,6.0,cas###,cas###,mismatch
23,herida,ɛ.ˈɾi.ða,1,CV,no,word,CarreirasPerea2002,37.884615384615394,,A,24.0,3.0,######,6.0,her###,her###,mismatch
24,moneda,mo.ˈne.ða,1,CV,no,word,CarreirasPerea2002,18.028846153846157,,A,25.0,3.0,######,6.0,mon###,mon###,mismatch
25,delito,de.ˈli.to,1,CV,no,word,CarreirasPerea2002,22.211538461538463,,A,26.0,3.0,######,6.0,del###,del###,mismatch
26,ganado,ɡa.ˈna.ðo,1,CV,no,word,CarreirasPerea2002,38.14903846153846,,A,27.0,3.0,######,6.0,gan###,gan###,mismatch
27,saludo,sa.ˈlu.ðo,1,CV,no,word,CarreirasPerea2002,6.995192307692308,,A,28.0,3.0,######,6.0,sal###,sal###,mismatch
28,paloma,pa.ˈlo.ma,1,CV,no,word,CarreirasPerea2002,6.1298076923076925,,A,29.0,3.0,######,6.0,pal###,pal###,mismatch
29,gusano,ɡu.ˈsa.no,1,CV,no,word,CarreirasPerea2002,10.096153846153843,,A,30.0,3.0,######,6.0,gus###,gus###,mismatch
30,caseta,ka.ˈsɛ.ta,1,CV,no,word,CarreirasPerea2002,1.6346153846153846,,A,31.0,2.0,######,6.0,ca####,ca####,match
31,diseño,di.ˈse.ɲo,1,CV,no,word,CarreirasPerea2002,18.365384615384613,,A,32.0,2.0,######,6.0,di####,di####,match
32,harina,a.ˈɾi.na,1,CV,no,word,CarreirasPerea2002,4.0625,,A,33.0,2.0,######,6.0,ha####,ha####,match
33,melena,me.ˈle.na,1,CV,no,word,CarreirasPerea2002,0.5769230769230769,,A,34.0,2.0,######,6.0,me####,me####,match
34,pasivo,pa.ˈsi.βo,1,CV,no,word,CarreirasPerea2002,1.8028846153846156,,A,35.0,2.0,######,6.0,pa####,pa####,match
35,rosado,ro.ˈsa.ðo,1,CV,no,word,CarreirasPerea2002,4.375,,A,36.0,2.0,######,6.0,ro####,ro####,match
36,saliva,sa.ˈli.βa,1,CV,no,word,CarreirasPerea2002,5.961538461538463,,A,37.0,2.0,######,6.0,sa####,sa####,match
37,soneto,so.ˈnɛ.to,1,CV,no,word,CarreirasPerea2002,0.6971153846153846,,A,38.0,2.0,######,6.0,so####,so####,match
38,recado,re.ˈka.ðo,1,CV,no,word,CarreirasPerea2002,4.543269230769232,,A,39.0,2.0,######,6.0,re####,re####,match
