,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
320,seguro,se.ˈɣu.ɾo,1,CV,no,word,CarreirasPerea2002,670.8894230769231,,C,321.0,2.0,######,6.0,se####,se####,match
321,bonito,bo.ˈni.to,1,CV,no,word,CarreirasPerea2002,92.93269230769229,,C,322.0,2.0,######,6.0,bo####,bo####,match
322,molino,mo.ˈli.no,1,CV,no,word,CarreirasPerea2002,3.1730769230769234,,C,323.0,2.0,######,6.0,mo####,mo####,match
323,pureza,pu.ˈɾe.sa,1,CV,no,word,CarreirasPerea2002,3.774038461538461,,C,324.0,2.0,######,6.0,pu####,pu####,match
324,corona,ko.ˈɾo.na,1,CV,no,word,CarreirasPerea2002,13.173076923076925,,C,325.0,2.0,######,6.0,co####,co####,match
325,barato,ba.ˈɾa.to,1,CV,no,word,CarreirasPerea2002,17.764423076923073,,C,326.0,2.0,######,6.0,ba####,ba####,match
326,pesado,pe.ˈsa.ðo,1,CV,no,word,CarreirasPerea2002,19.591346153846157,,C,327.0,2.0,######,6.0,pe####,pe####,match
327,docena,do.ˈse.na,1,CV,no,word,CarreirasPerea2002,15.456730769230768,,C,328.0,2.0,######,6.0,do####,do####,match
328,penoso,pe.ˈno.so,1,CV,no,word,CarreirasPerea2002,2.067307692307692,,C,329.0,2.0,######,6.0,pe####,pe####,match
329,recelo,re.ˈse.lo,1,CV,no,word,CarreirasPerea2002,0.28846153846153844,,C,330.0,2.0,######,6.0,re####,re####,match
330,basura,ba.ˈsu.ɾa,1,CV,no,word,CarreirasPerea2002,112.93269230769229,,C,331.0,3.0,######,6.0,bas###,bas###,mismatch
331,celoso,se.ˈlo.so,1,CV,no,word,CarreirasPerea2002,20.45673076923077,,C,332.0,3.0,######,6.0,cel###,cel###,mismatch
332,gorila,ɡo.ˈɾi.la,1,CV,no,word,CarreirasPerea2002,4.543269230769232,,C,333.0,3.0,######,6.0,gor###,gor###,mismatch
333,maleta,ma.ˈlɛ.ta,1,CV,no,word,CarreirasPerea2002,18.846153846153847,,C,334.0,3.0,######,6.0,mal###,mal###,mismatch
334,parado,pa.ˈɾa.ðo,1,CV,no,word,CarreirasPerea2002,32.427884615384606,,C,335.0,3.0,######,6.0,par###,par###,mismatch
335,resaca,re.ˈsa.ka,1,CV,no,word,CarreirasPerea2002,5.5048076923076925,,C,336.0,3.0,######,6.0,res###,res###,mismatch
336,salado,sa.ˈla.ðo,1,CV,no,word,CarreirasPerea2002,1.4903846153846154,,C,337.0,3.0,######,6.0,sal###,sal###,mismatch
337,senado,se.ˈna.ðo,1,CV,no,word,CarreirasPerea2002,9.927884615384617,,C,338.0,3.0,######,6.0,sen###,sen###,mismatch
338,tamaño,ta.ˈma.ɲo,1,CV,no,word,CarreirasPerea2002,39.447115384615394,,C,339.0,3.0,######,6.0,tam###,tam###,mismatch
339,vasija,ba.ˈsi.xa,1,CV,no,word,CarreirasPerea2002,1.5865384615384617,,C,340.0,3.0,######,6.0,vas###,vas###,mismatch
340,medida,me.ˈði.ða,1,CV,no,word,CarreirasPerea2002,18.75,,C,341.0,2.0,######,6.0,me####,me####,match
341,romano,ro.ˈma.no,1,CV,no,word,CarreirasPerea2002,5.769230769230768,,C,342.0,2.0,######,6.0,ro####,ro####,match
342,casino,ka.ˈsi.no,1,CV,no,word,CarreirasPerea2002,15.264423076923075,,C,343.0,2.0,######,6.0,ca####,ca####,match
343,herida,ɛ.ˈɾi.ða,1,CV,no,word,CarreirasPerea2002,37.884615384615394,,C,344.0,2.0,######,6.0,he####,he####,match
344,moneda,mo.ˈne.ða,1,CV,no,word,CarreirasPerea2002,18.028846153846157,,C,345.0,2.0,######,6.0,mo####,mo####,match
345,delito,de.ˈli.to,1,CV,no,word,CarreirasPerea2002,22.211538461538463,,C,346.0,2.0,######,6.0,de####,de####,match
346,ganado,ɡa.ˈna.ðo,1,CV,no,word,CarreirasPerea2002,38.14903846153846,,C,347.0,2.0,######,6.0,ga####,ga####,match
347,saludo,sa.ˈlu.ðo,1,CV,no,word,CarreirasPerea2002,6.995192307692308,,C,348.0,2.0,######,6.0,sa####,sa####,match
348,paloma,pa.ˈlo.ma,1,CV,no,word,CarreirasPerea2002,6.1298076923076925,,C,349.0,2.0,######,6.0,pa####,pa####,match
349,gusano,ɡu.ˈsa.no,1,CV,no,word,CarreirasPerea2002,10.096153846153843,,C,350.0,2.0,######,6.0,gu####,gu####,match
350,caseta,ka.ˈsɛ.ta,1,CV,no,word,CarreirasPerea2002,1.6346153846153846,,C,351.0,3.0,######,6.0,cas###,cas###,mismatch
351,diseño,di.ˈse.ɲo,1,CV,no,word,CarreirasPerea2002,18.365384615384613,,C,352.0,3.0,######,6.0,dis###,dis###,mismatch
352,harina,a.ˈɾi.na,1,CV,no,word,CarreirasPerea2002,4.0625,,C,353.0,3.0,######,6.0,har###,har###,mismatch
353,melena,me.ˈle.na,1,CV,no,word,CarreirasPerea2002,0.5769230769230769,,C,354.0,3.0,######,6.0,mel###,mel###,mismatch
354,pasivo,pa.ˈsi.βo,1,CV,no,word,CarreirasPerea2002,1.8028846153846156,,C,355.0,3.0,######,6.0,pas###,pas###,mismatch
355,rosado,ro.ˈsa.ðo,1,CV,no,word,CarreirasPerea2002,4.375,,C,356.0,3.0,######,6.0,ros###,ros###,mismatch
356,saliva,sa.ˈli.βa,1,CV,no,word,CarreirasPerea2002,5.961538461538463,,C,357.0,3.0,######,6.0,sal###,sal###,mismatch
357,soneto,so.ˈnɛ.to,1,CV,no,word,CarreirasPerea2002,0.6971153846153846,,C,358.0,3.0,######,6.0,son###,son###,mismatch
358,recado,re.ˈka.ðo,1,CV,no,word,CarreirasPerea2002,4.543269230769232,,C,359.0,3.0,######,6.0,rec###,rec###,mismatch
359,visado,bi.ˈsa.ðo,1,CV,no,word,CarreirasPerea2002,0.7932692307692307,,C,360.0,3.0,######,6.0,vis###,vis###,mismatch
360,balcón,bal.ˈkõn,1,CVC,no,word,CarreirasPerea2002,7.115384615384616,,C,361.0,2.0,######,6.0,ba####,ba####,mismatch
361,virtud,biɾ.ˈtuð,1,CVC,no,word,CarreirasPerea2002,4.447115384615384,,C,362.0,2.0,######,6.0,vi####,vi####,mismatch
362,vulgar,bul.ˈɣaɾ,1,CVC,no,word,CarreirasPerea2002,6.1298076923076925,,C,363.0,2.0,######,6.0,vu####,vu####,mismatch
363,rincón,rĩn.ˈkõn,1,CVC,no,word,CarreirasPerea2002,8.389423076923077,,C,364.0,2.0,######,6.0,ri####,ri####,mismatch
364,normal,noɾ.ˈmal,1,CVC,no,word,CarreirasPerea2002,105.48076923076924,,C,365.0,2.0,######,6.0,no####,no####,mismatch
365,perdón,pɛɾ.ˈðõn,1,CVC,no,word,CarreirasPerea2002,217.11538461538458,,C,366.0,2.0,######,6.0,pe####,pe####,mismatch
366,sector,sek̚.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,13.75,,C,367.0,2.0,######,6.0,se####,se####,mismatch
367,carmín,kaɾ.ˈmĩn,1,CVC,no,word,CarreirasPerea2002,0.21634615384615385,,C,368.0,2.0,######,6.0,ca####,ca####,mismatch
368,marfil,maɾ.ˈfil,1,CVC,no,word,CarreirasPerea2002,2.2115384615384617,,C,369.0,2.0,######,6.0,ma####,ma####,mismatch
369,fervor,fɛɾ.ˈβoɾ,1,CVC,no,word,CarreirasPerea2002,1.4182692307692306,,C,370.0,2.0,######,6.0,fe####,fe####,mismatch
370,bastón,bas.ˈtõn,1,CVC,no,word,CarreirasPerea2002,7.788461538461537,,C,371.0,3.0,######,6.0,bas###,bas###,match
371,cartel,kaɾ.ˈtɛl,1,CVC,no,word,CarreirasPerea2002,14.399038461538463,,C,372.0,3.0,######,6.0,car###,car###,match
372,cursor,kuɾ.ˈsoɾ,1,CVC,no,word,CarreirasPerea2002,0.1923076923076923,,C,373.0,3.0,######,6.0,cur###,cur###,match
373,desliz,dɛs̬.ˈlis,1,CVC,no,word,CarreirasPerea2002,1.25,,C,374.0,3.0,######,6.0,des###,des###,match
374,maldad,mal.ˈdað,1,CVC,no,word,CarreirasPerea2002,10.865384615384617,,C,375.0,3.0,######,6.0,mal###,mal###,match
375,postal,pos.ˈtal,1,CVC,no,word,CarreirasPerea2002,9.759615384615383,,C,376.0,3.0,######,6.0,pos###,pos###,match
376,reptil,rep̚.ˈtil,1,CVC,no,word,CarreirasPerea2002,1.1778846153846154,,C,377.0,3.0,######,6.0,rep###,rep###,match
377,sartén,saɾ.ˈtɛ̃n,1,CVC,no,word,CarreirasPerea2002,3.2692307692307687,,C,378.0,3.0,######,6.0,sar###,sar###,match
378,tambor,tãm.ˈboɾ,1,CVC,no,word,CarreirasPerea2002,4.663461538461538,,C,379.0,3.0,######,6.0,tam###,tam###,match
379,pulgar,pul.ˈɣaɾ,1,CVC,no,word,CarreirasPerea2002,7.572115384615384,,C,380.0,3.0,######,6.0,pul###,pul###,match
380,jardín,xaɾ.ˈðĩn,1,CVC,no,word,CarreirasPerea2002,39.519230769230774,,C,381.0,2.0,######,6.0,ja####,ja####,mismatch
381,pintor,pĩn.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,7.7644230769230775,,C,382.0,2.0,######,6.0,pi####,pi####,mismatch
