Order,Word,realWord,corrAns
0.0,platery,no,4
0.0,denial,yes,1
0.0,generic,yes,1
1.0,mensible,no,4
2.0,scornful,yes,1
3.0,stoutly,yes,1
4.0,ablaze,yes,1
5.0,kermshaw,no,4
6.0,moonlit,yes,1
7.0,lofty,yes,1
8.0,hurricane,yes,1
9.0,flaw,yes,1
10.0,alberation,no,4
11.0,unkempt,yes,1
12.0,breeding,yes,1
13.0,festivity,yes,1
14.0,screech,yes,1
15.0,savory,yes,1
16.0,plaudate,no,4
17.0,shin,yes,1
18.0,fluid,yes,1
19.0,spaunch,no,4
20.0,allied,yes,1
21.0,slain,yes,1
22.0,recipient,yes,1
23.0,exprate,no,4
24.0,eloquence,yes,1
25.0,cleanliness,yes,1
26.0,dispatch,yes,1
27.0,rebondicate,no,4
28.0,ingenious,yes,1
29.0,bewitch,yes,1
30.0,skave,no,4
31.0,plaintively,yes,1
32.0,kilp,no,4
33.0,interfate,no,4
34.0,hasty,yes,1
35.0,lengthy,yes,1
36.0,fray,yes,1
37.0,crumper,no,4
38.0,upkeep,yes,1
39.0,majestic,yes,1
40.0,magrity,no,4
41.0,nourishment,yes,1
42.0,abergy,no,4
43.0,proom,no,4
44.0,turmoil,yes,1
45.0,carbohydrate,yes,1
46.0,scholar,yes,1
47.0,turtle,yes,1
48.0,fellick,no,4
49.0,destription,no,4
50.0,cylinder,yes,1
51.0,censorship,yes,1
52.0,celestial,yes,1
53.0,rascal,yes,1
54.0,purrage,no,4
55.0,pulsh,no,4
56.0,muddy,yes,1
57.0,quirty,no,4
58.0,pudour,no,4
59.0,listless,yes,1
60.0,wrought,yes,1
