,Word,corrSyl,corrAns,leftKey,rightKey,condition
0,balada,BA,3,BAL,BA,AB
1,baldosa,BAL,2,BAL,BA,AB
2,bolero,BO,3,BOL,BO,AB
3,bolsillo,BOL,2,BOL,BO,AB
4,camisa,CA,3,CAM,CA,AB
5,campana,CAM,2,CAM,CA,AB
6,casilla,CA,3,CAS,CA,AB
7,castillo,CAS,2,CAS,CA,AB
8,ceniza,CE,3,CEN,CE,AB
9,centavo,CEN,2,CEN,CE,AB
10,cereza,CE,3,CER,CE,AB
11,cerveza,CER,2,CER,CE,AB
12,coraje,CO,3,COR,CO,AB
13,corbata,COR,2,COR,CO,AB
14,corona,CO,3,COR,CO,AB
15,corteza,COR,2,COR,CO,AB
16,cosecha,CO,3,COS,CO,AB
17,costilla,COS,2,COS,CO,AB
18,culebra,CU,3,CUL,CU,AB
19,culpable,CUL,2,CUL,CU,AB
20,ganancia,GA,3,GAN,GA,AB
21,ganchillo,GAN,2,GAN,GA,AB
22,garaje,GA,3,GAR,GA,AB
23,garganta,GAR,2,GAR,GA,AB
24,jornada,JOR,2,JOR,JO,AB
25,joroba,JO,3,JOR,JO,AB
26,limosna,LI,3,LIM,LI,AB
27,limpieza,LIM,2,LIM,LI,AB
28,linaje,LI,3,LIN,LI,AB
29,linterna,LIN,2,LIN,LI,AB
30,moneda,MO,3,MON,MO,AB
31,montaña,MON,2,MON,MO,AB
32,morcillo,MOR,2,MOR,MO,AB
33,morera,MO,3,MOR,MO,AB
34,muralla,MU,3,MUR,MU,AB
35,murmullo,MUR,2,MUR,MU,AB
36,palmera,PAL,2,PAL,PA,AB
37,paloma,PA,3,PAL,PA,AB
38,pasaje,PA,3,PAS,PA,AB
39,pastilla,PAS,2,PAS,PA,AB
40,pereza,PE,3,PER,PE,AB
41,permiso,PER,2,PER,PE,AB
42,peseta,PE,3,PES,PE,AB
43,pestaña,PES,2,PES,PE,AB
44,rosario,RO,3,ROS,RO,AB
45,rosquilla,ROS,2,ROS,RO,AB
46,volante,VO,3,VOL,VO,AB
47,voltaje,VOL,2,VOL,VO,AB
