,Word,corrSyl,corrAns,leftKey,rightKey,condition
48,balada,BA,2,BA,BAL,CD
49,baldosa,BAL,3,BA,BAL,CD
50,bolero,BO,2,BO,BOL,CD
51,bolsillo,BOL,3,BO,BOL,CD
52,camisa,CA,2,CA,CAM,CD
53,campana,CAM,3,CA,CAM,CD
54,casilla,CA,2,CA,CAS,CD
55,castillo,CAS,3,CA,CAS,CD
56,ceniza,CE,2,CE,CEN,CD
57,centavo,CEN,3,CE,CEN,CD
58,cereza,CE,2,CE,CER,CD
59,cerveza,CER,3,CE,CER,CD
60,coraje,CO,2,CO,COR,CD
61,corbata,COR,3,CO,COR,CD
62,corona,CO,2,CO,COR,CD
63,corteza,COR,3,CO,COR,CD
64,cosecha,CO,2,CO,COS,CD
65,costilla,COS,3,CO,COS,CD
66,culebra,CU,2,CU,CUL,CD
67,culpable,CUL,3,CU,CUL,CD
68,ganancia,GA,2,GA,GAN,CD
69,ganchillo,GAN,3,GA,GAN,CD
70,garaje,GA,2,GA,GAR,CD
71,garganta,GAR,3,GA,GAR,CD
72,jornada,JOR,3,JO,JOR,CD
73,joroba,JO,2,JO,JOR,CD
74,limosna,LI,2,LI,LIM,CD
75,limpieza,LIM,3,LI,LIM,CD
76,linaje,LI,2,LI,LIN,CD
77,linterna,LIN,3,LI,LIN,CD
78,moneda,MO,2,MO,MON,CD
79,montaña,MON,3,MO,MON,CD
80,morcillo,MOR,3,MO,MOR,CD
81,morera,MO,2,MO,MOR,CD
82,muralla,MU,2,MU,MUR,CD
83,murmullo,MUR,3,MU,MUR,CD
84,palmera,PAL,3,PA,PAL,CD
85,paloma,PA,2,PA,PAL,CD
86,pasaje,PA,2,PA,PAS,CD
87,pastilla,PAS,3,PA,PAS,CD
88,pereza,PE,2,PE,PER,CD
89,permiso,PER,3,PE,PER,CD
90,peseta,PE,2,PE,PES,CD
91,pestaña,PES,3,PE,PES,CD
92,rosario,RO,2,RO,ROS,CD
93,rosquilla,ROS,3,RO,ROS,CD
94,volante,VO,2,VO,VOL,CD
95,voltaje,VOL,3,VO,VOL,CD
