"Word","Match","Nonword","Nonword_Concat","Rand"
"se-gu-ro","te-cu-ra","tecura","tecura","0.29865179170841694"
"se-gu-ro","te-cu-to","tecuto","tecuto","0.8610669466928541"
"se-gu-ro","te-cu-no","tecuno","tecuno","0.5773066848397621"
"se-gu-ro","te-vu-ra","tevura","tevura","0.9419614364849033"
"se-gu-ro","te-vu-to","tevuto","tevuto","0.4197739335016911"
"se-gu-ro","te-vu-no","tevuno","tevuno","0.9487159740188781"
"se-gu-ro","te-ru-ra","terura","terura","0.6113473672800379"
"se-gu-ro","te-ru-to","teruto","teruto","0.12988565396021712"
"se-gu-ro","te-ru-no","teruno","teruno","0.14304665630120916"
"se-gu-ro","te-du-ra","tedura","tedura","0.6177440115513106"
"bo-ni-to","to-sa-to","tosato","tosato","0.7125589741152804"
"bo-ni-to","to-ma-to","tomato","tomato","0.9994130708906527"
"bo-ni-to","vo-ca-to","vocato","vocato","0.8569720027504284"
"bo-ni-to","vo-ra-to","vorato","vorato","0.28414944057528957"
"bo-ni-to","vo-da-to","vodato","vodato","0.41728249743094525"
"bo-ni-to","vo-sa-to","vosato","vosato","0.707577198834506"
"bo-ni-to","vo-ma-to","vomato","vomato","0.3843553004510436"
"bo-ni-to","lo-ca-to","locato","locato","0.7245783001279279"
"bo-ni-to","lo-ra-to","lorato","lorato","0.9510735131806243"
"bo-ni-to","lo-da-to","lodato","lodato","0.09988945699136897"
"mo-li-no","so-ra-no","sorano","sorano","0.8367227485944284"
"mo-li-no","ro-ra-no","rorano","rorano","0.5808243747525804"
"mo-li-no","po-ra-no","porano","porano","0.4698548263420833"
"mo-li-no","so-ci-ro","sociro","sociro","0.7228695589269212"
"mo-li-no","so-ci-co","socico","socico","0.5247909437193703"
"mo-li-no","so-ci-to","socito","socito","0.9919300622787617"
"mo-li-no","so-ca-no","socano","socano","0.2825895291638941"
"mo-li-no","so-ri-ro","soriro","soriro","0.6555520198732049"
"mo-li-no","so-ri-co","sorico","sorico","0.4273732699644682"
"mo-li-no","so-ri-to","sorito","sorito","0.5971464136487866"
"pu-re-za","ru-ce-ga","rucega","rucega","0.8310808321226058"
"pu-re-za","ru-ce-ña","ruceña","ruceña","0.6280598660736672"
"pu-re-za","ru-ce-ja","ruceja","ruceja","0.38851963646000265"
"pu-re-za","ru-ce-va","ruceva","ruceva","0.1815665774519818"
"pu-re-za","ru-ce-ba","ruceba","ruceba","0.10066149194216756"
"pu-re-za","ru-ce-ma","rucema","rucema","0.9204723039189259"
"pu-re-za","ru-le-ga","rulega","rulega","0.4256578089272558"
"pu-re-za","ru-le-ña","ruleña","ruleña","0.14859546646815847"
"pu-re-za","ru-le-ja","ruleja","ruleja","0.17046951809616095"
"pu-re-za","ru-le-va","ruleva","ruleva","0.6915193933116978"
"co-ro-na","co-co-ro","cocoro","cocoro","0.15717649680002532"
"co-ro-na","co-co-to","cocoto","cocoto","0.048673301506250044"
"co-ro-na","co-do-ro","codoro","codoro","0.38928040555716614"
"co-ro-na","co-do-to","codoto","codoto","0.5842016196736504"
"co-ro-na","co-lo-ro","coloro","coloro","0.7266279260882011"
"co-ro-na","co-lo-to","coloto","coloto","0.022624218199858825"
"co-ro-na","co-so-ro","cosoro","cosoro","0.7707496152347051"
"co-ro-na","co-so-to","cosoto","cosoto","0.7847924583270464"
"co-ro-na","co-mo-ro","comoro","comoro","0.016024282791707978"
"co-ro-na","co-mo-to","comoto","comoto","0.5584486319291613"
"ba-ra-to","va-ci-to","vacito","vacito","0.9794199201300954"
"ba-ra-to","va-li-to","valito","valito","0.06935673174427737"
"ba-ra-to","va-si-to","vasito","vasito","0.08438222887849456"
"ba-ra-to","va-mi-to","vamito","vamito","0.477311071985393"
"ba-ra-to","va-ni-to","vanito","vanito","0.12462359275711543"
"ba-ra-to","la-ci-to","lacito","lacito","0.1002308669207077"
"ba-ra-to","la-li-to","lalito","lalito","0.43463329715596877"
"ba-ra-to","la-si-to","lasito","lasito","0.1929161425620689"
"ba-ra-to","la-mi-to","lamito","lamito","0.47054069086129013"
"ba-ra-to","la-ni-to","lanito","lanito","0.26930935636878406"
"pe-sa-do","me-ci-do","mecido","mecido","0.8507639028718853"
"pe-sa-do","me-ri-do","merido","merido","0.021058903835021292"
"pe-sa-do","me-di-do","medido","medido","0.2578901560021486"
"pe-sa-do","me-mi-do","memido","memido","0.12902357783500928"
"pe-sa-do","me-bi-do","mebido","mebido","0.17460838141501878"
"pe-sa-do","me-ni-do","menido","menido","0.32407827533137223"
"pe-sa-do","me-pi-do","mepido","mepido","0.5391745708888717"
"pe-sa-do","se-ca-da","secada","secada","0.8204693533755393"
"pe-sa-do","se-ci-do","secido","secido","0.4514897233179731"
"pe-sa-do","se-vi-do","sevido","sevido","0.2229811722221291"
"do-ce-na","to-ce-ro","tocero","tocero","0.5288358927043376"
"do-ce-na","to-ce-to","toceto","toceto","0.46911581224294574"
"do-ce-na","to-ve-ra","tovera","tovera","0.1468860513282797"
"do-ce-na","to-ve-ca","toveca","toveca","0.1976611131823678"
"do-ce-na","to-ve-ta","toveta","toveta","0.5362776477631545"
"do-ce-na","to-re-ca","toreca","toreca","0.10148469162656415"
"do-ce-na","to-re-ta","toreta","toreta","0.7867611129110998"
"do-ce-na","to-de-ra","todera","todera","0.8622339424734266"
"do-ce-na","to-de-ca","todeca","todeca","0.03811123335989852"
"do-ce-na","to-de-ta","todeta","todeta","0.8424194093115456"
"pe-no-so","me-co-co","mecoco","mecoco","0.2562703029461444"
"pe-no-so","me-ro-co","meroco","meroco","0.7256714056417745"
"pe-no-so","me-do-co","medoco","medoco","0.5314316715521776"
"pe-no-so","me-so-co","mesoco","mesoco","0.7738031726117922"
"pe-no-so","me-mo-co","memoco","memoco","0.46755601842618943"
"pe-no-so","me-to-co","metoco","metoco","0.4461078022197066"
"pe-no-so","se-co-co","secoco","secoco","0.23791099076696853"
"pe-no-so","se-co-lo","secolo","secolo","0.7811823744118869"
"pe-no-so","se-co-sa","secosa","secosa","0.34067713381618325"
"pe-no-so","se-vo-co","sevoco","sevoco","0.7958790098825249"
"re-ce-lo","de-ce-za","deceza","deceza","0.7550732023894523"
"re-ce-lo","de-ce-ga","decega","decega","0.8777446201122304"
"re-ce-lo","de-ce-sa","decesa","decesa","0.978294948748947"
"re-ce-lo","de-ce-ja","deceja","deceja","0.005539581670982119"
"re-ce-lo","de-ce-ca","dececa","dececa","0.7684294857563089"
"re-ce-lo","de-ce-ma","decema","decema","0.6317792157940807"
"re-ce-lo","de-ve-zo","devezo","devezo","0.11422728053158082"
"re-ce-lo","de-ve-go","devego","devego","0.4358342314324827"
"re-ce-lo","de-ve-so","deveso","deveso","0.912555260735999"
"re-ce-lo","de-ve-jo","devejo","devejo","0.006160901474921321"
"ba-su-ra","ta-cu-ro","tacuro","tacuro","0.11119349062204154"
"ba-su-ra","ta-cu-na","tacuna","tacuna","0.6454591226208224"
"ba-su-ra","ta-vu-ro","tavuro","tavuro","0.6649483971727187"
"ba-su-ra","ta-vu-na","tavuna","tavuna","0.7992076436800375"
"ba-su-ra","ta-ru-ro","taruro","taruro","0.7081999729727315"
"ba-su-ra","ta-ru-na","taruna","taruna","0.9095374686309655"
"ba-su-ra","ta-du-ro","taduro","taduro","0.15819519260641435"
"ba-su-ra","ta-du-na","taduna","taduna","0.4750685729885493"
"ba-su-ra","ta-lu-ro","taluro","taluro","0.6755848444071996"
"ba-su-ra","ta-lu-na","taluna","taluna","0.7195680023402166"
"ce-lo-so","ce-co-ca","cecoca","cecoca","0.9973576416350476"
"ce-lo-so","ce-co-la","cecola","cecola","0.43999603559251754"
"ce-lo-so","ce-ro-ca","ceroca","ceroca","0.42181889886218826"
"ce-lo-so","ce-ro-la","cerola","cerola","0.8160018415006893"
"ce-lo-so","ce-so-ca","cesoca","cesoca","0.33861423032562465"
"ce-lo-so","ce-so-la","cesola","cesola","0.5521086629098915"
"ce-lo-so","ce-mo-ca","cemoca","cemoca","0.2879468119509708"
"ce-lo-so","ce-mo-la","cemola","cemola","0.3623688954333876"
"ce-lo-so","ce-to-ca","cetoca","cetoca","0.29049293253945785"
"ce-lo-so","ce-to-la","cetola","cetola","0.6219850604284629"
"go-ri-la","no-ca-la","nocala","nocala","0.4433148120414384"
"go-ri-la","no-ci-sa","nocisa","nocisa","0.4125223299165963"
"go-ri-la","no-ra-sa","norasa","norasa","0.31242985413859814"
"go-ri-la","no-la-la","nolala","nolala","0.3140845919923817"
"go-ri-la","no-li-sa","nolisa","nolisa","0.7087312070965148"
"go-ri-la","no-sa-la","nosala","nosala","0.02616564921132658"
"go-ri-la","no-si-sa","nosisa","nosisa","0.8752848474629151"
"go-ri-la","no-mi-sa","nomisa","nomisa","0.4378102362218115"
"go-ri-la","no-ma-la","nomala","nomala","0.6460741523610746"
"go-ri-la","no-na-la","nonala","nonala","0.29811369545075617"
"ma-le-ta","sa-ce-na","sacena","sacena","0.1566949098608872"
"ma-le-ta","sa-re-na","sarena","sarena","0.4523994453301924"
"ma-le-ta","sa-se-na","sasena","sasena","0.641332842739701"
"ma-le-ta","sa-me-na","samena","samena","0.5387177235272612"
"ma-le-ta","sa-te-na","satena","satena","0.7776201545400645"
"ma-le-ta","sa-ne-na","sanena","sanena","0.2550742209035033"
"ma-le-ta","ra-ce-na","racena","racena","0.4386826017820844"
