sectionEng,questionNum,questionTextEng,languageEng,sectionEsp,questionTextEsp,languageEsp
Language history,1a,At what age did you start learning the following languages?,English,,,inglés
Language history,1b,At what age did you start learning the following languages?,Spanish,,,español
Language history,2a,At what age did you start to feel comfortable using the following languages?,English,,,inglés
Language history,2b,At what age did you start to feel comfortable using the following languages?,Spanish,,,español
Language history,3a,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",English,,,inglés
Language history,3b,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",Spanish,,,español
Language history,4a,How many years have you spent in a country/region where the following languages are spoken?,English,,,inglés
Language history,4b,How many years have you spent in a country/region where the following languages are spoken?,Spanish,,,español
Language history,5a,How many years have you spent in a family where the following languages are spoken?,English,,,inglés
Language history,5b,How many years have you spent in a family where the following languages are spoken?,Spanish,,,español
Language history,6a,How many years have you spent in a work environment where the following languages are spoken?,English,,,inglés
Language history,6b,How many years have you spent in a work environment where the following languages are spoken?,Spanish,,,español
Language use,7a,"In an average week, what percentage of the time do you use the following languages with friends?",English,,,inglés
Language use,7b,"In an average week, what percentage of the time do you use the following languages with friends?",Spanish,,,español
Language use,7c,"In an average week, what percentage of the time do you use the following languages with friends?",Other languages,,,español
Language use,8a,"In an average week, what percentage of the time do you use the following languages with family?",English,,,inglés
Language use,8b,"In an average week, what percentage of the time do you use the following languages with family?",Spanish,,,español
Language use,8c,"In an average week, what percentage of the time do you use the following languages with family?",Other languages,,,español
Language use,9a,"In an average week, what percentage of the time do you use the following languages at school/work?",English,,,inglés
Language use,9b,"In an average week, what percentage of the time do you use the following languages at school/work?",Spanish,,,español
Language use,9c,"In an average week, what percentage of the time do you use the following languages at school/work?",Other languages,,,español
Language use,10a,"When you talk to yourself, how often do you talk to yourself in the following languages?",English,,,inglés
Language use,10b,"When you talk to yourself, how often do you talk to yourself in the following languages?",Spanish,,,español
Language use,10c,"When you talk to yourself, how often do you talk to yourself in the following languages?",Other languages,,,español
Language use,11a,"When you count, how often do you count in the following languages?",English,,,inglés
Language use,11b,"When you count, how often do you count in the following languages?",Spanish,,,español
Language use,11c,"When you count, how often do you count in the following languages?",Other languages,,,español
Language proficiency,12a,How well do you speak,English,,,inglés
Language proficiency,12b,How well do you speak,Spanish,,,español
Language proficiency,13a,How well do you understand,English,,,inglés
Language proficiency,13b,How well do you understand,Spanish,,,español
Language proficiency,14a,How well do you read,English,,,inglés
Language proficiency,14b,How well do you read,Spanish,,,español
Language proficiency,15a,How well do you write,English,,,inglés
Language proficiency,15b,How well do you write,Spanish,,,español
Language attitudes,16a,I feel like myself when I speak English.,English,,,inglés
Language attitudes,16b,I feel like myself when I speak Spanish.,Spanish,,,español
Language attitudes,17a,I identify with an English-speaking culture.,English,,,inglés
Language attitudes,17b,I identify with an Spanish-speaking culture.,Spanish,,,español
Language attitudes,18a,It is important to me to use (or eventually use) English like a native speaker.,English,,,inglés
Language attitudes,18b,It is important to me to use (or eventually use) Spanish like a native speaker.,Spanish,,,español
Language attitudes,19a,I want others to think I am a native speaker of English.,English,,,inglés
Language attitudes,19b, I want others to think I am a native speaker of Spanish.,Spanish,,,español
