"block","word","wd_int_syl_str","tar_syl_str","tar_syl","wd_status","matching","lemma","first_3","item_type"
"block01","garaje","CV","CV","ga","word","match","gar","gar","critical"
"block01","lumbrera","CVC","CV","ga","word","mismatch","gar","lum","filler01"
"block01","polvillo","CVC","CV","ga","word","mismatch","gar","pol","filler02"
"block01","solera","CV","CV","ga","word","match","gar","sol","filler03"
"block01","pinchazo","CVC","CV","ga","word","mismatch","gar","pin","filler04"
"block01","mensaje","CVC","CV","ga","word","mismatch","gar","men","filler05"
"block01","tendencia","CVC","CV","ga","word","mismatch","gar","ten","filler06"
"block01","cimiento","CV","CV","ga","word","match","gar","cim","filler07"
"block01","sopapo","CV","CV","ga","word","match","gar","sop","filler08"
"block01","tiniebla","CV","CV","ga","word","match","gar","tin","filler09"
"block02","joroba","CV","CV","jo","word","match","jor","jor","critical"
"block02","zancada","CVC","CV","jo","word","mismatch","jor","zan","filler01"
"block02","tumulto","CV","CV","jo","word","match","jor","tum","filler02"
"block02","ventaja","CVC","CV","jo","word","mismatch","jor","ven","filler03"
"block02","cintura","CVC","CV","jo","word","mismatch","jor","cin","filler04"
"block02","tintero","CVC","CV","jo","word","mismatch","jor","tin","filler05"
"block02","piscina","CVC","CV","jo","word","mismatch","jor","pis","filler06"
"block02","vigilia","CV","CV","jo","word","match","jor","vig","filler07"
"block02","pupitre","CV","CV","jo","word","match","jor","pup","filler08"
"block02","bigote","CV","CV","jo","word","match","jor","big","filler09"
"block03","garganta","CVC","CV","ga","word","mismatch","gar","gar","critical"
"block03","lumbrera","CVC","CV","ga","word","mismatch","gar","lum","filler01"
"block03","polvillo","CVC","CV","ga","word","mismatch","gar","pol","filler02"
"block03","solera","CV","CV","ga","word","match","gar","sol","filler03"
"block03","pujanza","CV","CV","ga","word","match","gar","puj","filler04"
"block03","mensaje","CVC","CV","ga","word","mismatch","gar","men","filler05"
"block03","tendencia","CVC","CV","ga","word","mismatch","gar","ten","filler06"
"block03","cimiento","CV","CV","ga","word","match","gar","cim","filler07"
"block03","sopapo","CV","CV","ga","word","match","gar","sop","filler08"
"block03","tiniebla","CV","CV","ga","word","match","gar","tin","filler09"
"block04","jornada","CVC","CV","jo","word","mismatch","jor","jor","critical"
"block04","zancada","CVC","CV","jo","word","mismatch","jor","zan","filler01"
"block04","tumulto","CV","CV","jo","word","match","jor","tum","filler02"
"block04","ventaja","CVC","CV","jo","word","mismatch","jor","ven","filler03"
"block04","bufanda","CV","CV","jo","word","match","jor","buf","filler04"
"block04","tintero","CVC","CV","jo","word","mismatch","jor","tin","filler05"
"block04","piscina","CVC","CV","jo","word","mismatch","jor","pis","filler06"
"block04","vigilia","CV","CV","jo","word","match","jor","vig","filler07"
"block04","pupitre","CV","CV","jo","word","match","jor","pup","filler08"
"block04","bigote","CV","CV","jo","word","match","jor","big","filler09"
"block05","garaje","CV","CVC","gar","word","mismatch","gar","gar","critical"
"block05","tejado","CV","CVC","gar","word","mismatch","gar","tej","filler01"
"block05","zumbido","CVC","CVC","gar","word","match","gar","zum","filler02"
"block05","postigo","CVC","CVC","gar","word","match","gar","pos","filler03"
"block05","fundillo","CVC","CVC","gar","word","match","gar","fun","filler04"
"block05","pestillo","CVC","CVC","gar","word","match","gar","pes","filler05"
"block05","filete","CV","CVC","gar","word","mismatch","gar","fil","filler06"
"block05","velero","CV","CVC","gar","word","mismatch","gar","vel","filler07"
"block05","semblanza","CVC","CVC","gar","word","match","gar","sem","filler08"
"block05","tetilla","CV","CVC","gar","word","mismatch","gar","tet","filler09"
"block06","joroba","CV","CVC","jor","word","mismatch","jor","jor","critical"
"block06","zapato","CV","CVC","jor","word","mismatch","jor","zap","filler01"
"block06","venganza","CVC","CVC","jor","word","match","jor","ven","filler02"
"block06","fastidio","CVC","CVC","jor","word","match","jor","fas","filler03"
"block06","piltrafa","CVC","CVC","jor","word","match","jor","pil","filler04"
"block06","pulgada","CVC","CVC","jor","word","match","jor","pul","filler05"
"block06","vistazo","CVC","CVC","jor","word","match","jor","vis","filler06"
"block06","taquilla","CV","CVC","jor","word","mismatch","jor","taq","filler07"
"block06","cizalla","CV","CVC","jor","word","mismatch","jor","ciz","filler08"
"block06","cilindro","CV","CVC","jor","word","mismatch","jor","cil","filler09"
"block07","garganta","CVC","CVC","gar","word","match","gar","gar","critical"
"block07","tejado","CV","CVC","gar","word","mismatch","gar","tej","filler01"
"block07","zumbido","CVC","CVC","gar","word","match","gar","zum","filler02"
"block07","postigo","CVC","CVC","gar","word","match","gar","pos","filler03"
"block07","fundillo","CVC","CVC","gar","word","match","gar","fun","filler04"
"block07","pestillo","CVC","CVC","gar","word","match","gar","pes","filler05"
"block07","filete","CV","CVC","gar","word","mismatch","gar","fil","filler06"
"block07","velero","CV","CVC","gar","word","mismatch","gar","vel","filler07"
"block07","tufillo","CV","CVC","gar","word","mismatch","gar","tuf","filler08"
"block07","tetilla","CV","CVC","gar","word","mismatch","gar","tet","filler09"
"block08","jornada","CVC","CVC","jor","word","match","jor","jor","critical"
"block08","zapato","CV","CVC","jor","word","mismatch","jor","zap","filler01"
"block08","venganza","CVC","CVC","jor","word","match","jor","ven","filler02"
"block08","fastidio","CVC","CVC","jor","word","match","jor","fas","filler03"
"block08","secuela","CV","CVC","jor","word","mismatch","jor","sec","filler04"
"block08","pulgada","CVC","CVC","jor","word","match","jor","pul","filler05"
"block08","vistazo","CVC","CVC","jor","word","match","jor","vis","filler06"
"block08","taquilla","CV","CVC","jor","word","mismatch","jor","taq","filler07"
"block08","cizalla","CV","CVC","jor","word","mismatch","jor","ciz","filler08"
"block08","cilindro","CV","CVC","jor","word","mismatch","jor","cil","filler09"
"block09","garele","CV","CV","ga","nonword","match","gar","gar","critical"
"block09","tulvano","CVC","CV","ga","nonword","mismatch","gar","tul","filler01"
"block09","cicauco","CV","CV","ga","nonword","match","gar","cic","filler02"
"block09","dusnuente","CVC","CV","ga","nonword","mismatch","gar","dus","filler03"
"block09","numete","CV","CV","ga","nonword","match","gar","num","filler04"
"block09","tildona","CVC","CV","ga","nonword","mismatch","gar","til","filler05"
"block09","mufenza","CV","CV","ga","nonword","match","gar","muf","filler06"
"block09","cuntela","CVC","CV","ga","nonword","mismatch","gar","cun","filler07"
"block09","pembanse","CVC","CV","ga","nonword","mismatch","gar","pem","filler08"
