"block","word","wd_int_syl_str","tar_syl_str","tar_syl","wd_status","matching","lemma","first_3","item_type","corrAns"
"block01","balada","CV","CV","ba","word","match","bal","bal","critical","1.0"
"block01","rendija","CVC","CV","ba","word","mismatch","bal","ren","filler01","None"
"block01","tortuga","CVC","CV","ba","word","mismatch","bal","tor","filler02","None"
"block01","semilla","CV","CV","ba","word","match","bal","sem","filler03","None"
"block01","torpeza","CVC","CV","ba","word","mismatch","bal","tor","filler04","None"
"block01","sortija","CVC","CV","ba","word","mismatch","bal","sor","filler05","None"
"block01","tersura","CVC","CV","ba","word","mismatch","bal","ter","filler06","None"
"block01","picota","CV","CV","ba","word","match","bal","pic","filler07","None"
"block01","sotana","CV","CV","ba","word","match","bal","sot","filler08","None"
"block01","sonido","CV","CV","ba","word","match","bal","son","filler09","None"
"block02","baldosa","CVC","CV","ba","word","mismatch","bal","bal","critical","1.0"
"block02","renombre","CV","CV","ba","word","match","bal","ren","filler01","None"
"block02","tortuga","CVC","CV","ba","word","mismatch","bal","tor","filler02","None"
"block02","semilla","CV","CV","ba","word","match","bal","sem","filler03","None"
"block02","torpeza","CVC","CV","ba","word","mismatch","bal","tor","filler04","None"
"block02","sortija","CVC","CV","ba","word","mismatch","bal","sor","filler05","None"
"block02","tersura","CVC","CV","ba","word","mismatch","bal","ter","filler06","None"
"block02","picota","CV","CV","ba","word","match","bal","pic","filler07","None"
"block02","sotana","CV","CV","ba","word","match","bal","sot","filler08","None"
"block02","sonido","CV","CV","ba","word","match","bal","son","filler09","None"
"block03","balada","CV","CVC","bal","word","mismatch","bal","bal","critical","1.0"
"block03","punzada","CVC","CVC","bal","word","match","bal","pun","filler01","None"
"block03","mortaja","CVC","CVC","bal","word","match","bal","mor","filler02","None"
"block03","puntilla","CVC","CVC","bal","word","match","bal","pun","filler03","None"
"block03","vergüenza","CVC","CVC","bal","word","match","bal","ver","filler04","None"
"block03","vendaje","CVC","CVC","bal","word","match","bal","ven","filler05","None"
"block03","remanso","CV","CVC","bal","word","mismatch","bal","rem","filler06","None"
"block03","recodo","CV","CVC","bal","word","mismatch","bal","rec","filler07","None"
"block03","rimero","CV","CVC","bal","word","mismatch","bal","rim","filler08","None"
"block03","fineza","CV","CVC","bal","word","mismatch","bal","fin","filler09","None"
"block04","baldosa","CVC","CVC","bal","word","match","bal","bal","critical","1.0"
"block04","punzada","CVC","CVC","bal","word","match","bal","pun","filler01","None"
"block04","mortaja","CVC","CVC","bal","word","match","bal","mor","filler02","None"
"block04","puntilla","CVC","CVC","bal","word","match","bal","pun","filler03","None"
"block04","vergüenza","CVC","CVC","bal","word","match","bal","ver","filler04","None"
"block04","vendaje","CVC","CVC","bal","word","match","bal","ven","filler05","None"
"block04","remanso","CV","CVC","bal","word","mismatch","bal","rem","filler06","None"
"block04","recodo","CV","CVC","bal","word","mismatch","bal","rec","filler07","None"
"block04","rimero","CV","CVC","bal","word","mismatch","bal","rim","filler08","None"
"block04","fineza","CV","CVC","bal","word","mismatch","bal","fin","filler09","None"
"block05","balega","CV","CV","ba","nonword","match","bal","bal","critical","1.0"
"block05","soponso","CV","CV","ba","nonword","match","bal","sop","filler01","None"
"block05","zictencia","CVC","CV","ba","nonword","mismatch","bal","zic","filler02","None"
"block05","turjuma","CVC","CV","ba","nonword","mismatch","bal","tur","filler03","None"
"block05","cuntefa","CVC","CV","ba","nonword","mismatch","bal","cun","filler04","None"
"block05","cicaigo","CV","CV","ba","nonword","match","bal","cic","filler05","None"
"block05","soreto","CV","CV","ba","nonword","match","bal","sor","filler06","None"
"block05","dosbiente","CVC","CV","ba","nonword","mismatch","bal","dos","filler07","None"
"block05","fontama","CVC","CV","ba","nonword","mismatch","bal","fon","filler08","None"
"block05","decibio","CV","CV","ba","nonword","match","bal","dec","filler09","None"
"block06","balbusa","CVC","CV","ba","nonword","mismatch","bal","bal","critical","1.0"
"block06","soponso","CV","CV","ba","nonword","match","bal","sop","filler01","None"
"block06","zictencia","CVC","CV","ba","nonword","mismatch","bal","zic","filler02","None"
"block06","ruñansa","CV","CV","ba","nonword","match","bal","ruñ","filler03","None"
"block06","cuntefa","CVC","CV","ba","nonword","mismatch","bal","cun","filler04","None"
"block06","cicaigo","CV","CV","ba","nonword","match","bal","cic","filler05","None"
"block06","soreto","CV","CV","ba","nonword","match","bal","sor","filler06","None"
"block06","dosbiente","CVC","CV","ba","nonword","mismatch","bal","dos","filler07","None"
"block06","fontama","CVC","CV","ba","nonword","mismatch","bal","fon","filler08","None"
"block06","decibio","CV","CV","ba","nonword","match","bal","dec","filler09","None"
"block07","balega","CV","CVC","bal","nonword","mismatch","bal","bal","critical","1.0"
"block07","denciña","CVC","CVC","bal","nonword","match","bal","den","filler01","None"
"block07","cecaja","CV","CVC","bal","nonword","mismatch","bal","cec","filler02","None"
"block07","vestolcio","CVC","CVC","bal","nonword","match","bal","ves","filler03","None"
"block07","cicora","CV","CVC","bal","nonword","mismatch","bal","cic","filler04","None"
"block07","sinvera","CVC","CVC","bal","nonword","match","bal","sin","filler05","None"
"block07","simedo","CV","CVC","bal","nonword","mismatch","bal","sim","filler06","None"
"block07","donania","CV","CVC","bal","nonword","mismatch","bal","don","filler07","None"
"block07","vinterca","CVC","CVC","bal","nonword","match","bal","vin","filler08","None"
"block07","cencera","CVC","CVC","bal","nonword","match","bal","cen","filler09","None"
"block08","balbusa","CVC","CVC","bal","nonword","match","bal","bal","critical","1.0"
"block08","denciña","CVC","CVC","bal","nonword","match","bal","den","filler01","None"
"block08","cecaja","CV","CVC","bal","nonword","mismatch","bal","cec","filler02","None"
"block08","vestolcio","CVC","CVC","bal","nonword","match","bal","ves","filler03","None"
"block08","cicora","CV","CVC","bal","nonword","mismatch","bal","cic","filler04","None"
"block08","sinvera","CVC","CVC","bal","nonword","match","bal","sin","filler05","None"
"block08","simedo","CV","CVC","bal","nonword","mismatch","bal","sim","filler06","None"
"block08","donania","CV","CVC","bal","nonword","mismatch","bal","don","filler07","None"
"block08","vobita","CV","CVC","bal","nonword","mismatch","bal","vob","filler08","None"
"block08","cencera","CVC","CVC","bal","nonword","match","bal","cen","filler09","None"
"block09","linaje","CV","CV","li","word","match","lin","lin","critical","1.0"
"block09","tartana","CVC","CV","li","word","mismatch","lin","tar","filler01","None"
"block09","portazo","CVC","CV","li","word","mismatch","lin","por","filler02","None"
"block09","vereda","CV","CV","li","word","match","lin","ver","filler03","None"
"block09","zarpazo","CVC","CV","li","word","mismatch","lin","zar","filler04","None"
"block09","jasmina","CVC","CV","li","word","mismatch","lin","jas","filler05","None"
"block09","captura","CVC","CV","li","word","mismatch","lin","cap","filler06","None"
"block09","recurso","CV","CV","li","word","match","lin","rec","filler07","None"
"block09","tocino","CV","CV","li","word","match","lin","toc","filler08","None"
"block09","dureza","CV","CV","li","word","match","lin","dur","filler09","None"
"block10","linterna","CVC","CV","li","word","mismatch","lin","lin","critical","1.0"
"block10","tartana","CVC","CV","li","word","mismatch","lin","tar","filler01","None"
"block10","portazo","CVC","CV","li","word","mismatch","lin","por","filler02","None"
"block10","vereda","CV","CV","li","word","match","lin","ver","filler03","None"
"block10","zarpazo","CVC","CV","li","word","mismatch","lin","zar","filler04","None"
"block10","jasmina","CVC","CV","li","word","mismatch","lin","jas","filler05","None"
"block10","regazo","CV","CV","li","word","match","lin","reg","filler06","None"
"block10","recurso","CV","CV","li","word","match","lin","rec","filler07","None"
"block10","tocino","CV","CV","li","word","match","lin","toc","filler08","None"
"block10","dureza","CV","CV","li","word","match","lin","dur","filler09","None"
"block11","linaje","CV","CVC","lin","word","mismatch","lin","lin","critical","1.0"
"block11","portillo","CVC","CVC","lin","word","match","lin","por","filler01","None"
"block11","sobaco","CV","CVC","lin","word","mismatch","lin","sob","filler02","None"
"block11","respuesta","CVC","CVC","lin","word","match","lin","res","filler03","None"
"block11","garbanzo","CVC","CVC","lin","word","match","lin","gar","filler04","None"
"block11","corneta","CVC","CVC","lin","word","match","lin","cor","filler05","None"
"block11","pozuelo","CV","CVC","lin","word","mismatch","lin","poz","filler06","None"
"block11","barcaza","CVC","CVC","lin","word","match","lin","bar","filler07","None"
"block11","sureste","CV","CVC","lin","word","mismatch","lin","sur","filler08","None"
"block11","torija","CV","CVC","lin","word","mismatch","lin","tor","filler09","None"
"block12","linterna","CVC","CVC","lin","word","match","lin","lin","critical","1.0"
"block12","portillo","CVC","CVC","lin","word","match","lin","por","filler01","None"
"block12","sobaco","CV","CVC","lin","word","mismatch","lin","sob","filler02","None"
"block12","respuesta","CVC","CVC","lin","word","match","lin","res","filler03","None"
"block12","garbanzo","CVC","CVC","lin","word","match","lin","gar","filler04","None"
"block12","soborno","CV","CVC","lin","word","mismatch","lin","sob","filler05","None"
"block12","pozuelo","CV","CVC","lin","word","mismatch","lin","poz","filler06","None"
"block12","barcaza","CVC","CVC","lin","word","match","lin","bar","filler07","None"
"block12","sureste","CV","CVC","lin","word","mismatch","lin","sur","filler08","None"
"block12","torija","CV","CVC","lin","word","mismatch","lin","tor","filler09","None"
"block13","linele","CV","CV","li","nonword","match","lin","lin","critical","1.0"
"block13","parvida","CVC","CV","li","nonword","mismatch","lin","par","filler01","None"
"block13","sociare","CV","CV","li","nonword","match","lin","soc","filler02","None"
"block13","decanro","CV","CV","li","nonword","match","lin","dec","filler03","None"
"block13","taviño","CV","CV","li","nonword","match","lin","tav","filler04","None"
"block13","pospana","CVC","CV","li","nonword","mismatch","lin","pos","filler05","None"
"block13","poscallo","CVC","CV","li","nonword","mismatch","lin","pos","filler06","None"
"block13","tornanga","CVC","CV","li","nonword","mismatch","lin","tor","filler07","None"
"block13","tusorto","CV","CV","li","nonword","match","lin","tus","filler08","None"
"block13","tercega","CVC","CV","li","nonword","mismatch","lin","ter","filler09","None"
"block14","linlirna","CVC","CV","li","nonword","mismatch","lin","lin","critical","1.0"
"block14","parvida","CVC","CV","li","nonword","mismatch","lin","par","filler01","None"
"block14","sociare","CV","CV","li","nonword","match","lin","soc","filler02","None"
"block14","decanro","CV","CV","li","nonword","match","lin","dec","filler03","None"
"block14","taviño","CV","CV","li","nonword","match","lin","tav","filler04","None"
"block14","pospana","CVC","CV","li","nonword","mismatch","lin","pos","filler05","None"
"block14","poscallo","CVC","CV","li","nonword","mismatch","lin","pos","filler06","None"
"block14","gerotio","CV","CV","li","nonword","match","lin","ger","filler07","None"
"block14","tusorto","CV","CV","li","nonword","match","lin","tus","filler08","None"
"block14","tercega","CVC","CV","li","nonword","mismatch","lin","ter","filler09","None"
"block15","linele","CV","CVC","lin","nonword","mismatch","lin","lin","critical","1.0"
"block15","jagito","CV","CVC","lin","nonword","mismatch","lin","jag","filler01","None"
"block15","parsida","CVC","CVC","lin","nonword","match","lin","par","filler02","None"
"block15","ducoste","CV","CVC","lin","nonword","mismatch","lin","duc","filler03","None"
"block15","cortupto","CVC","CVC","lin","nonword","match","lin","cor","filler04","None"
"block15","tosaba","CV","CVC","lin","nonword","mismatch","lin","tos","filler05","None"
"block15","suseña","CV","CVC","lin","nonword","mismatch","lin","sus","filler06","None"
"block15","meptrona","CVC","CVC","lin","nonword","match","lin","mep","filler07","None"
"block15","deroda","CV","CVC","lin","nonword","mismatch","lin","der","filler08","None"
"block15","sutnido","CVC","CVC","lin","nonword","match","lin","sut","filler09","None"
"block16","linlirna","CVC","CVC","lin","nonword","match","lin","lin","critical","1.0"
"block16","jagito","CV","CVC","lin","nonword","mismatch","lin","jag","filler01","None"
"block16","parsida","CVC","CVC","lin","nonword","match","lin","par","filler02","None"
"block16","ducoste","CV","CVC","lin","nonword","mismatch","lin","duc","filler03","None"
"block16","cortupto","CVC","CVC","lin","nonword","match","lin","cor","filler04","None"
"block16","tosaba","CV","CVC","lin","nonword","mismatch","lin","tos","filler05","None"
"block16","suseña","CV","CVC","lin","nonword","mismatch","lin","sus","filler06","None"
"block16","meptrona","CVC","CVC","lin","nonword","match","lin","mep","filler07","None"
"block16","deroda","CV","CVC","lin","nonword","mismatch","lin","der","filler08","None"
"block16","sutnido","CVC","CVC","lin","nonword","match","lin","sut","filler09","None"
"block17","peseta","CV","CV","pe","word","match","pes","pes","critical","1.0"
"block17","langosta","CVC","CV","pe","word","mismatch","pes","lan","filler01","None"
"block17","jilguero","CVC","CV","pe","word","mismatch","pes","jil","filler02","None"
"block17","gordura","CVC","CV","pe","word","mismatch","pes","gor","filler03","None"
"block17","doncella","CVC","CV","pe","word","mismatch","pes","don","filler04","None"
"block17","fantoche","CVC","CV","pe","word","mismatch","pes","fan","filler05","None"
"block17","laguna","CV","CV","pe","word","match","pes","lag","filler06","None"
"block17","jacinto","CV","CV","pe","word","match","pes","jac","filler07","None"
"block17","duquesa","CV","CV","pe","word","match","pes","duq","filler08","None"
"block17","dominio","CV","CV","pe","word","match","pes","dom","filler09","None"
"block18","pestaña","CVC","CV","pe","word","mismatch","pes","pes","critical","1.0"
"block18","langosta","CVC","CV","pe","word","mismatch","pes","lan","filler01","None"
"block18","jilguero","CVC","CV","pe","word","mismatch","pes","jil","filler02","None"
"block18","gordura","CVC","CV","pe","word","mismatch","pes","gor","filler03","None"
"block18","cigarro","CV","CV","pe","word","match","pes","cig","filler04","None"
"block18","fantoche","CVC","CV","pe","word","mismatch","pes","fan","filler05","None"
"block18","laguna","CV","CV","pe","word","match","pes","lag","filler06","None"
"block18","jacinto","CV","CV","pe","word","match","pes","jac","filler07","None"
"block18","duquesa","CV","CV","pe","word","match","pes","duq","filler08","None"
"block18","dominio","CV","CV","pe","word","match","pes","dom","filler09","None"
"block19","peseta","CV","CVC","pes","word","mismatch","pes","pes","critical","1.0"
"block19","tardanza","CVC","CVC","pes","word","match","pes","tar","filler01","None"
"block19","tornillo","CVC","CVC","pes","word","match","pes","tor","filler02","None"
"block19","ruptura","CVC","CVC","pes","word","match","pes","rup","filler03","None"
"block19","durmiente","CVC","CVC","pes","word","match","pes","dur","filler04","None"
"block19","burbuja","CVC","CVC","pes","word","match","pes","bur","filler05","None"
"block19","viruela","CV","CVC","pes","word","mismatch","pes","vir","filler06","None"
"block19","lavabo","CV","CVC","pes","word","mismatch","pes","lav","filler07","None"
