block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block01,balada,CV,CV,word,match,bal,bal,critical,1
block01,rendija,CVC,CV,word,mismatch,bal,ren,filler01,None
block01,tortuga,CVC,CV,word,mismatch,bal,tor,filler02,None
block01,semilla,CV,CV,word,match,bal,sem,filler03,None
block01,torpeza,CVC,CV,word,mismatch,bal,tor,filler04,None
block01,sortija,CVC,CV,word,mismatch,bal,sor,filler05,None
block01,tersura,CVC,CV,word,mismatch,bal,ter,filler06,None
block01,picota,CV,CV,word,match,bal,pic,filler07,None
block01,sotana,CV,CV,word,match,bal,sot,filler08,None
block01,sonido,CV,CV,word,match,bal,son,filler09,None
block02,baldosa,CVC,CV,word,mismatch,bal,bal,critical,1
block02,renombre,CV,CV,word,match,bal,ren,filler01,None
block02,tortuga,CVC,CV,word,mismatch,bal,tor,filler02,None
block02,semilla,CV,CV,word,match,bal,sem,filler03,None
block02,torpeza,CVC,CV,word,mismatch,bal,tor,filler04,None
block02,sortija,CVC,CV,word,mismatch,bal,sor,filler05,None
block02,tersura,CVC,CV,word,mismatch,bal,ter,filler06,None
block02,picota,CV,CV,word,match,bal,pic,filler07,None
block02,sotana,CV,CV,word,match,bal,sot,filler08,None
block02,sonido,CV,CV,word,match,bal,son,filler09,None
block03,balada,CV,CVC,word,mismatch,bal,bal,critical,1
block03,punzada,CVC,CVC,word,match,bal,pun,filler01,None
block03,mortaja,CVC,CVC,word,match,bal,mor,filler02,None
block03,puntilla,CVC,CVC,word,match,bal,pun,filler03,None
block03,vergüenza,CVC,CVC,word,match,bal,ver,filler04,None
block03,vendaje,CVC,CVC,word,match,bal,ven,filler05,None
block03,remanso,CV,CVC,word,mismatch,bal,rem,filler06,None
block03,recodo,CV,CVC,word,mismatch,bal,rec,filler07,None
block03,rimero,CV,CVC,word,mismatch,bal,rim,filler08,None
block03,fineza,CV,CVC,word,mismatch,bal,fin,filler09,None
block04,baldosa,CVC,CVC,word,match,bal,bal,critical,1
block04,punzada,CVC,CVC,word,match,bal,pun,filler01,None
block04,mortaja,CVC,CVC,word,match,bal,mor,filler02,None
block04,puntilla,CVC,CVC,word,match,bal,pun,filler03,None
block04,vergüenza,CVC,CVC,word,match,bal,ver,filler04,None
block04,vendaje,CVC,CVC,word,match,bal,ven,filler05,None
block04,remanso,CV,CVC,word,mismatch,bal,rem,filler06,None
block04,recodo,CV,CVC,word,mismatch,bal,rec,filler07,None
block04,rimero,CV,CVC,word,mismatch,bal,rim,filler08,None
block04,fineza,CV,CVC,word,mismatch,bal,fin,filler09,None
