block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block01,cereza,CV,CV,ce,word,match,cer,cer,critical
block01,tinaja,CV,CV,ce,word,match,cer,tin,filler01
block01,sonrisa,CVC,CV,ce,word,mismatch,cer,son,filler02
block01,sandalia,CVC,CV,ce,word,mismatch,cer,san,filler03
block01,pancarta,CVC,CV,ce,word,mismatch,cer,pan,filler04
block01,bolzano,CVC,CV,ce,word,mismatch,cer,bol,filler05
block01,tinglado,CVC,CV,ce,word,mismatch,cer,tin,filler06
block01,fajardo,CV,CV,ce,word,match,cer,faj,filler07
block01,pomada,CV,CV,ce,word,match,cer,pom,filler08
block01,gotera,CV,CV,ce,word,match,cer,got,filler09
block02,garaje,CV,CV,ga,word,match,gar,gar,critical
block02,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01
block02,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02
block02,solera,CV,CV,ga,word,match,gar,sol,filler03
block02,pinchazo,CVC,CV,ga,word,mismatch,gar,pin,filler04
block02,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05
block02,tendencia,CVC,CV,ga,word,mismatch,gar,ten,filler06
block02,cimiento,CV,CV,ga,word,match,gar,cim,filler07
block02,sopapo,CV,CV,ga,word,match,gar,sop,filler08
block02,tiniebla,CV,CV,ga,word,match,gar,tin,filler09
block03,joroba,CV,CV,jo,word,match,jor,jor,critical
block03,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01
block03,tumulto,CV,CV,jo,word,match,jor,tum,filler02
block03,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03
block03,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04
block03,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05
block03,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06
block03,vigilia,CV,CV,jo,word,match,jor,vig,filler07
block03,pupitre,CV,CV,jo,word,match,jor,pup,filler08
block03,bigote,CV,CV,jo,word,match,jor,big,filler09
block04,muralla,CV,CV,mu,word,match,mur,mur,critical
block04,testigo,CVC,CV,mu,word,mismatch,mur,tes,filler01
block04,vestuario,CVC,CV,mu,word,mismatch,mur,ves,filler02
block04,poltrona,CVC,CV,mu,word,mismatch,mur,pol,filler03
block04,lactancia,CVC,CV,mu,word,mismatch,mur,lac,filler04
block04,vestigio,CVC,CV,mu,word,mismatch,mur,ves,filler05
block04,tapete,CV,CV,mu,word,match,mur,tap,filler06
block04,dolencia,CV,CV,mu,word,match,mur,dol,filler07
block04,tibieza,CV,CV,mu,word,match,mur,tib,filler08
block04,pizarra,CV,CV,mu,word,match,mur,piz,filler09
block05,cerveza,CVC,CV,ce,word,mismatch,cer,cer,critical
block05,tinaja,CV,CV,ce,word,match,cer,tin,filler01
block05,sonrisa,CVC,CV,ce,word,mismatch,cer,son,filler02
block05,sandalia,CVC,CV,ce,word,mismatch,cer,san,filler03
block05,pancarta,CVC,CV,ce,word,mismatch,cer,pan,filler04
block05,bolzano,CVC,CV,ce,word,mismatch,cer,bol,filler05
block05,pimienta,CV,CV,ce,word,match,cer,pim,filler06
block05,fajardo,CV,CV,ce,word,match,cer,faj,filler07
block05,pomada,CV,CV,ce,word,match,cer,pom,filler08
block05,gotera,CV,CV,ce,word,match,cer,got,filler09
block06,garganta,CVC,CV,ga,word,mismatch,gar,gar,critical
block06,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01
block06,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02
block06,solera,CV,CV,ga,word,match,gar,sol,filler03
block06,pujanza,CV,CV,ga,word,match,gar,puj,filler04
block06,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05
block06,tendencia,CVC,CV,ga,word,mismatch,gar,ten,filler06
block06,cimiento,CV,CV,ga,word,match,gar,cim,filler07
block06,sopapo,CV,CV,ga,word,match,gar,sop,filler08
block06,tiniebla,CV,CV,ga,word,match,gar,tin,filler09
block07,jornada,CVC,CV,jo,word,mismatch,jor,jor,critical
block07,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01
block07,tumulto,CV,CV,jo,word,match,jor,tum,filler02
block07,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03
block07,bufanda,CV,CV,jo,word,match,jor,buf,filler04
block07,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05
block07,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06
block07,vigilia,CV,CV,jo,word,match,jor,vig,filler07
block07,pupitre,CV,CV,jo,word,match,jor,pup,filler08
block07,bigote,CV,CV,jo,word,match,jor,big,filler09
block08,murmullo,CVC,CV,mu,word,mismatch,mur,mur,critical
block08,testigo,CVC,CV,mu,word,mismatch,mur,tes,filler01
block08,vestuario,CVC,CV,mu,word,mismatch,mur,ves,filler02
block08,poltrona,CVC,CV,mu,word,mismatch,mur,pol,filler03
block08,lactancia,CVC,CV,mu,word,mismatch,mur,lac,filler04
block08,vivencia,CV,CV,mu,word,match,mur,viv,filler05
block08,tapete,CV,CV,mu,word,match,mur,tap,filler06
block08,dolencia,CV,CV,mu,word,match,mur,dol,filler07
block08,tibieza,CV,CV,mu,word,match,mur,tib,filler08
block08,pizarra,CV,CV,mu,word,match,mur,piz,filler09
block09,cereza,CV,CVC,cer,word,mismatch,cer,cer,critical
block09,sandía,CVC,CVC,cer,word,match,cer,san,filler01
block09,soltura,CVC,CVC,cer,word,match,cer,sol,filler02
block09,ginebra,CV,CVC,cer,word,mismatch,cer,gin,filler03
block09,solvencia,CVC,CVC,cer,word,match,cer,sol,filler04
block09,tungsteno,CVC,CVC,cer,word,match,cer,tun,filler05
block09,subsuelo,CVC,CVC,cer,word,match,cer,sub,filler06
block09,gozada,CV,CVC,cer,word,mismatch,cer,goz,filler07
block09,juguete,CV,CVC,cer,word,mismatch,cer,jug,filler08
