"syllabification","corrSyl","corrAns","leftKey","rightKey","condition"
"balada","BA","3.0","BAL","BA","AB"
"baldosa","BAL","2.0","BAL","BA","AB"
"bolero","BO","3.0","BOL","BO","AB"
"bolsillo","BOL","2.0","BOL","BO","AB"
"camisa","CA","3.0","CAM","CA","AB"
"campana","CAM","2.0","CAM","CA","AB"
"casilla","CA","3.0","CAS","CA","AB"
"castillo","CAS","2.0","CAS","CA","AB"
"ceniza","CE","3.0","CEN","CE","AB"
"centavo","CEN","2.0","CEN","CE","AB"
"cereza","CE","3.0","CER","CE","AB"
"cerveza","CER","2.0","CER","CE","AB"
"coraje","CO","3.0","COR","CO","AB"
"corbata","COR","2.0","COR","CO","AB"
"corona","CO","3.0","COR","CO","AB"
"corteza","COR","2.0","COR","CO","AB"
"cosecha","CO","3.0","COS","CO","AB"
"costilla","COS","2.0","COS","CO","AB"
"culebra","CU","3.0","CUL","CU","AB"
"culpable","CUL","2.0","CUL","CU","AB"
"ganancia","GA","3.0","GAN","GA","AB"
"ganchillo","GAN","2.0","GAN","GA","AB"
"garaje","GA","3.0","GAR","GA","AB"
"garganta","GAR","2.0","GAR","GA","AB"
"jornada","JOR","2.0","JOR","JO","AB"
"joroba","JO","3.0","JOR","JO","AB"
"limosna","LI","3.0","LIM","LI","AB"
"limpieza","LIM","2.0","LIM","LI","AB"
"linaje","LI","3.0","LIN","LI","AB"
"linterna","LIN","2.0","LIN","LI","AB"
"moneda","MO","3.0","MON","MO","AB"
"montaña","MON","2.0","MON","MO","AB"
"morcillo","MOR","2.0","MOR","MO","AB"
"morera","MO","3.0","MOR","MO","AB"
"muralla","MU","3.0","MUR","MU","AB"
"murmullo","MUR","2.0","MUR","MU","AB"
"palmera","PAL","2.0","PAL","PA","AB"
"paloma","PA","3.0","PAL","PA","AB"
"pasaje","PA","3.0","PAS","PA","AB"
"pastilla","PAS","2.0","PAS","PA","AB"
"pereza","PE","3.0","PER","PE","AB"
"permiso","PER","2.0","PER","PE","AB"
"peseta","PE","3.0","PES","PE","AB"
"pestaña","PES","2.0","PES","PE","AB"
"rosario","RO","3.0","ROS","RO","AB"
"rosquilla","ROS","2.0","ROS","RO","AB"
"volante","VO","3.0","VOL","VO","AB"
"voltaje","VOL","2.0","VOL","VO","AB"
"balada","BA","2.0","BA","BAL","CD"
"baldosa","BAL","3.0","BA","BAL","CD"
"bolero","BO","2.0","BO","BOL","CD"
"bolsillo","BOL","3.0","BO","BOL","CD"
"camisa","CA","2.0","CA","CAM","CD"
"campana","CAM","3.0","CA","CAM","CD"
"casilla","CA","2.0","CA","CAS","CD"
"castillo","CAS","3.0","CA","CAS","CD"
"ceniza","CE","2.0","CE","CEN","CD"
"centavo","CEN","3.0","CE","CEN","CD"
"cereza","CE","2.0","CE","CER","CD"
"cerveza","CER","3.0","CE","CER","CD"
"coraje","CO","2.0","CO","COR","CD"
"corbata","COR","3.0","CO","COR","CD"
"corona","CO","2.0","CO","COR","CD"
"corteza","COR","3.0","CO","COR","CD"
"cosecha","CO","2.0","CO","COS","CD"
"costilla","COS","3.0","CO","COS","CD"
"culebra","CU","2.0","CU","CUL","CD"
"culpable","CUL","3.0","CU","CUL","CD"
"ganancia","GA","2.0","GA","GAN","CD"
"ganchillo","GAN","3.0","GA","GAN","CD"
"garaje","GA","2.0","GA","GAR","CD"
"garganta","GAR","3.0","GA","GAR","CD"
"jornada","JOR","3.0","JO","JOR","CD"
"joroba","JO","2.0","JO","JOR","CD"
"limosna","LI","2.0","LI","LIM","CD"
"limpieza","LIM","3.0","LI","LIM","CD"
"linaje","LI","2.0","LI","LIN","CD"
"linterna","LIN","3.0","LI","LIN","CD"
"moneda","MO","2.0","MO","MON","CD"
"montaña","MON","3.0","MO","MON","CD"
"morcillo","MOR","3.0","MO","MOR","CD"
"morera","MO","2.0","MO","MOR","CD"
"muralla","MU","2.0","MU","MUR","CD"
"murmullo","MUR","3.0","MU","MUR","CD"
"palmera","PAL","3.0","PA","PAL","CD"
"paloma","PA","2.0","PA","PAL","CD"
"pasaje","PA","2.0","PA","PAS","CD"
"pastilla","PAS","3.0","PA","PAS","CD"
"pereza","PE","2.0","PE","PER","CD"
"permiso","PER","3.0","PE","PER","CD"
"peseta","PE","2.0","PE","PES","CD"
"pestaña","PES","3.0","PE","PES","CD"
"rosario","RO","2.0","RO","ROS","CD"
"rosquilla","ROS","3.0","RO","ROS","CD"
"volante","VO","2.0","VO","VOL","CD"
"voltaje","VOL","3.0","VO","VOL","CD"
