block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block18,pestaña,CVC,CV,pe,word,mismatch,pes,pes,critical,1.0
block18,langosta,CVC,CV,pe,word,mismatch,pes,lan,filler01,None
block18,jilguero,CVC,CV,pe,word,mismatch,pes,jil,filler02,None
block18,gordura,CVC,CV,pe,word,mismatch,pes,gor,filler03,None
block18,cigarro,CV,CV,pe,word,match,pes,cig,filler04,None
block18,fantoche,CVC,CV,pe,word,mismatch,pes,fan,filler05,None
block18,laguna,CV,CV,pe,word,match,pes,lag,filler06,None
block18,jacinto,CV,CV,pe,word,match,pes,jac,filler07,None
block18,duquesa,CV,CV,pe,word,match,pes,duq,filler08,None
block18,dominio,CV,CV,pe,word,match,pes,dom,filler09,None
