,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
460,block47,culitra,CV,CV,cu,nonword,match,cul,cul,critical,1.0
461,block47,deñalla,CV,CV,cu,nonword,match,cul,deñ,filler01,None
462,block47,tidencio,CV,CV,cu,nonword,match,cul,tid,filler02,None
463,block47,banfalla,CVC,CV,cu,nonword,mismatch,cul,ban,filler03,None
464,block47,sitena,CV,CV,cu,nonword,match,cul,sit,filler04,None
465,block47,senrera,CVC,CV,cu,nonword,mismatch,cul,sen,filler05,None
466,block47,bitena,CV,CV,cu,nonword,match,cul,bit,filler06,None
467,block47,torsenza,CVC,CV,cu,nonword,mismatch,cul,tor,filler07,None
468,block47,tarbenga,CVC,CV,cu,nonword,mismatch,cul,tar,filler08,None
469,block47,nastallo,CVC,CV,cu,nonword,mismatch,cul,nas,filler09,None
