Order,Word,Translation,corrAnsEspV,
0,pladeno,NW,4,
0,delantera,first position,1,
0,garbardina,raincoat,1,
1,terzo,NW,4,
2,pellizcar,pinch,1,
3,pulmones,lungs,1,
4,batillón,NW,4,
5,zapato,shoe,1,
6,tergiversar,distort,1,
7,pésimo,abysmal,1,
8,cadeña,NW,4,
9,hacha,axe,1,
10,antar,NW,4,
11,cenefa,edging,1,
12,asesinato,murder,1,
13,helar,freeze,1,
14,yunque,anvil,1,
15,regar,water,1,
16,abracer,NW,4,
17,floroso,NW,4,
18,arsa,NW,4,
19,brecedad,NW,4,
20,ávido,avid,1,
21,capillo,NW,4,
22,lacayo,lackey,1,
23,lampera,NW,4,
24,látigo,whip,1,
25,bisagra,hinge,1,
26,secuestro,kidnapping,1,
27,acutación,NW,4,
28,merodear,prowl,1,
29,decar,NW,4,
30,alardio,NW,4,
31,pandilla,gang,1,
32,fatacidad,NW,4,
33,pauca,NW,4,
34,aviso,notice,1,
35,rompido,NW,4,
36,loro,parrot,1,
37,granuja,rascal,1,
38,estornudar,sneeze,1,
39,torpe,clumsy,1,
40,alfombra,carpet,1,
41,rebuscar,rummage,1,
42,cadallo,NW,4,
43,canela,cinnamon,1,
44,cuchara,spoon,1,
45,jilguero,goldfinch,1,
46,martillo,hammer,1,
47,cartinar,NW,4,
48,ladrón,thief,1,
49,ganar,win,1,
50,flamida,NW,4,
51,candado,padlock,1,
52,camisa,shirt,1,
53,vegada,NW,4,
54,fomentar,promote,1,
55,nevar,snow,1,
56,musgo,moss,1,
57,tacaño,stingy,1,
58,plaudir,NW,4,
59,besar,kiss,1,
60,matar,kill,1,
61,seda,silk,1,
62,flaco,skinny,1,
63,esposante,NW,4,
64,orgulloso,proud,1,
65,bizcocho,cake,1,
66,hacido,NW,4,
67,cabello,hair,1,
68,alegre,cheerful,1,
69,engatusar,cajole,1,
70,temblo,NW,4,
71,polvoriento,dusty,1,
72,pemición,NW,4,
73,hervidor,kettle,1,
74,cintro,NW,4,
75,yacer,lie,1,
76,atar,tie,1,
77,tiburón,shark,1,
78,frondoso,leafy,1,
79,tropaje,NW,4,
80,hormiga,ant,1,
81,pozo,well,1,
82,empirador,NW,4,
83,guante,glove,1,
84,escuto,NW,4,
85,laud,lute,1,
86,barato,cheap,1,
87,grodo,NW,4,
88,acantilado,cliff,1,
89,prisa,hurry,1,
90,clavel,carnation,1,.
