,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
230,block24,murdallo,CVC,CV,mu,nonword,mismatch,mur,mur,critical
231,block24,senena,CV,CV,mu,nonword,match,mur,sen,filler01
232,block24,viztura,CVC,CV,mu,nonword,mismatch,mur,viz,filler02
233,block24,cosdura,CVC,CV,mu,nonword,mismatch,mur,cos,filler03
234,block24,bipero,CV,CV,mu,nonword,match,mur,bip,filler04
235,block24,civicha,CV,CV,mu,nonword,match,mur,civ,filler05
236,block24,lastadia,CVC,CV,mu,nonword,mismatch,mur,las,filler06
237,block24,siquija,CV,CV,mu,nonword,match,mur,siq,filler07
238,block24,codoro,CV,CV,mu,nonword,match,mur,cod,filler08
239,block24,caljero,CVC,CV,mu,nonword,mismatch,mur,cal,filler09
