syllabification,Unnamed: 0,corrSyl,corrAns,leftKey,rightKey,condition
balada,48,BA,2,BA,BAL,CD
baldosa,49,BAL,3,BA,BAL,CD
bolero,50,BO,2,BO,BOL,CD
bolsillo,51,BOL,3,BO,BOL,CD
camisa,52,CA,2,CA,CAM,CD
campana,53,CAM,3,CA,CAM,CD
casilla,54,CA,2,CA,CAS,CD
castillo,55,CAS,3,CA,CAS,CD
ceniza,56,CE,2,CE,CEN,CD
centavo,57,CEN,3,CE,CEN,CD
cereza,58,CE,2,CE,CER,CD
cerveza,59,CER,3,CE,CER,CD
coraje,60,CO,2,CO,COR,CD
corbata,61,COR,3,CO,COR,CD
corona,62,CO,2,CO,COR,CD
corteza,63,COR,3,CO,COR,CD
cosecha,64,CO,2,CO,COS,CD
costilla,65,COS,3,CO,COS,CD
culebra,66,CU,2,CU,CUL,CD
culpable,67,CUL,3,CU,CUL,CD
ganancia,68,GA,2,GA,GAN,CD
ganchillo,69,GAN,3,GA,GAN,CD
garaje,70,GA,2,GA,GAR,CD
garganta,71,GAR,3,GA,GAR,CD
jornada,72,JOR,3,JO,JOR,CD
joroba,73,JO,2,JO,JOR,CD
limosna,74,LI,2,LI,LIM,CD
limpieza,75,LIM,3,LI,LIM,CD
linaje,76,LI,2,LI,LIN,CD
linterna,77,LIN,3,LI,LIN,CD
moneda,78,MO,2,MO,MON,CD
montaña,79,MON,3,MO,MON,CD
morcillo,80,MOR,3,MO,MOR,CD
morera,81,MO,2,MO,MOR,CD
muralla,82,MU,2,MU,MUR,CD
murmullo,83,MUR,3,MU,MUR,CD
palmera,84,PAL,3,PA,PAL,CD
paloma,85,PA,2,PA,PAL,CD
pasaje,86,PA,2,PA,PAS,CD
pastilla,87,PAS,3,PA,PAS,CD
pereza,88,PE,2,PE,PER,CD
permiso,89,PER,3,PE,PER,CD
peseta,90,PE,2,PE,PES,CD
pestaña,91,PES,3,PE,PES,CD
rosario,92,RO,2,RO,ROS,CD
rosquilla,93,ROS,3,RO,ROS,CD
volante,94,VO,2,VO,VOL,CD
voltaje,95,VOL,3,VO,VOL,CD
