syllabification,corrSyl,corrAns,leftKey,rightKey,condition
balada,BA,3,BAL,BA,AB
baldosa,BAL,2,BAL,BA,AB
bolero,BO,3,BOL,BO,AB
bolsillo,BOL,2,BOL,BO,AB
camisa,CA,3,CAM,CA,AB
campana,CAM,2,CAM,CA,AB
casilla,CA,3,CAS,CA,AB
castillo,CAS,2,CAS,CA,AB
ceniza,CE,3,CEN,CE,AB
centavo,CEN,2,CEN,CE,AB
cereza,CE,3,CER,CE,AB
cerveza,CER,2,CER,CE,AB
coraje,CO,3,COR,CO,AB
corbata,COR,2,COR,CO,AB
corona,CO,3,COR,CO,AB
corteza,COR,2,COR,CO,AB
cosecha,CO,3,COS,CO,AB
costilla,COS,2,COS,CO,AB
culebra,CU,3,CUL,CU,AB
culpable,CUL,2,CUL,CU,AB
ganancia,GA,3,GAN,GA,AB
ganchillo,GAN,2,GAN,GA,AB
garaje,GA,3,GAR,GA,AB
garganta,GAR,2,GAR,GA,AB
jornada,JOR,2,JOR,JO,AB
joroba,JO,3,JOR,JO,AB
limosna,LI,3,LIM,LI,AB
limpieza,LIM,2,LIM,LI,AB
linaje,LI,3,LIN,LI,AB
linterna,LIN,2,LIN,LI,AB
moneda,MO,3,MON,MO,AB
montaña,MON,2,MON,MO,AB
morcillo,MOR,2,MOR,MO,AB
morera,MO,3,MOR,MO,AB
muralla,MU,3,MUR,MU,AB
murmullo,MUR,2,MUR,MU,AB
palmera,PAL,2,PAL,PA,AB
paloma,PA,3,PAL,PA,AB
pasaje,PA,3,PAS,PA,AB
pastilla,PAS,2,PAS,PA,AB
pereza,PE,3,PER,PE,AB
permiso,PER,2,PER,PE,AB
peseta,PE,3,PES,PE,AB
pestaña,PES,2,PES,PE,AB
rosario,RO,3,ROS,RO,AB
rosquilla,ROS,2,ROS,RO,AB
volante,VO,3,VOL,VO,AB
voltaje,VOL,2,VOL,VO,AB
balada,BA,2,BA,BAL,CD
baldosa,BAL,3,BA,BAL,CD
bolero,BO,2,BO,BOL,CD
bolsillo,BOL,3,BO,BOL,CD
camisa,CA,2,CA,CAM,CD
campana,CAM,3,CA,CAM,CD
casilla,CA,2,CA,CAS,CD
castillo,CAS,3,CA,CAS,CD
ceniza,CE,2,CE,CEN,CD
centavo,CEN,3,CE,CEN,CD
cereza,CE,2,CE,CER,CD
cerveza,CER,3,CE,CER,CD
coraje,CO,2,CO,COR,CD
corbata,COR,3,CO,COR,CD
corona,CO,2,CO,COR,CD
corteza,COR,3,CO,COR,CD
cosecha,CO,2,CO,COS,CD
costilla,COS,3,CO,COS,CD
culebra,CU,2,CU,CUL,CD
culpable,CUL,3,CU,CUL,CD
ganancia,GA,2,GA,GAN,CD
ganchillo,GAN,3,GA,GAN,CD
garaje,GA,2,GA,GAR,CD
garganta,GAR,3,GA,GAR,CD
jornada,JOR,3,JO,JOR,CD
joroba,JO,2,JO,JOR,CD
limosna,LI,2,LI,LIM,CD
limpieza,LIM,3,LI,LIM,CD
linaje,LI,2,LI,LIN,CD
linterna,LIN,3,LI,LIN,CD
moneda,MO,2,MO,MON,CD
montaña,MON,3,MO,MON,CD
morcillo,MOR,3,MO,MOR,CD
morera,MO,2,MO,MOR,CD
muralla,MU,2,MU,MUR,CD
murmullo,MUR,3,MU,MUR,CD
palmera,PAL,3,PA,PAL,CD
paloma,PA,2,PA,PAL,CD
pasaje,PA,2,PA,PAS,CD
pastilla,PAS,3,PA,PAS,CD
pereza,PE,2,PE,PER,CD
permiso,PER,3,PE,PER,CD
peseta,PE,2,PE,PES,CD
pestaña,PES,3,PE,PES,CD
rosario,RO,2,RO,ROS,CD
rosquilla,ROS,3,RO,ROS,CD
volante,VO,2,VO,VOL,CD
voltaje,VOL,3,VO,VOL,CD
