syllabification,corrSyl,corrAns,leftKey,rightKey,condition
caldera,CAL,2,CAL,CA,AB
cantera,CAN,2,CAN,CA,AB
ciruela,CI,3,CIR,CI,AB
culata,CU,3,CUL,CU,AB
gustazo,GUS,2,GUS,GU,AB
latencia,LA,3,LAT,LA,AB
pericia,PE,3,PER,PE,AB
pupila,PU,3,PUP,PU,AB
sendero,SEN,2,SEN,SE,AB
sordina,SOR,2,SOR,SO,AB
caldera,CAL,3,CA,CAL,CD
cantera,CAN,3,CA,CAN,CD
ciruela,CI,2,CI,CIR,CD
culata,CU,2,CU,CUL,CD
gustazo,GUS,3,GU,GUS,CD
latencia,LA,2,LA,LAT,CD
pericia,PE,2,PE,PER,CD
pupila,PU,2,PU,PUP,CD
sendero,SEN,3,SE,SEN,CD
sordina,SOR,3,SO,SOR,CD
