Order,Word,corrAnsEngV,realWord
0.0,platery,4,no
0.0,denial,1,yes
0.0,generic,1,yes
1.0,mensible,4,no
2.0,scornful,1,yes
3.0,stoutly,1,yes
4.0,ablaze,1,yes
5.0,kermshaw,4,no
6.0,moonlit,1,yes
7.0,lofty,1,yes
8.0,hurricane,1,yes
9.0,flaw,1,yes
10.0,alberation,4,no
11.0,unkempt,1,yes
12.0,breeding,1,yes
13.0,festivity,1,yes
14.0,screech,1,yes
15.0,savory,1,yes
16.0,plaudate,4,no
17.0,shin,1,yes
18.0,fluid,1,yes
19.0,spaunch,4,no
20.0,allied,1,yes
21.0,slain,1,yes
22.0,recipient,1,yes
23.0,exprate,4,no
24.0,eloquence,1,yes
25.0,cleanliness,1,yes
26.0,dispatch,1,yes
27.0,rebondicate,4,no
28.0,ingenious,1,yes
29.0,bewitch,1,yes
30.0,skave,4,no
31.0,plaintively,1,yes
32.0,kilp,4,no
33.0,interfate,4,no
34.0,hasty,1,yes
35.0,lengthy,1,yes
36.0,fray,1,yes
37.0,crumper,4,no
38.0,upkeep,1,yes
39.0,majestic,1,yes
40.0,magrity,4,no
41.0,nourishment,1,yes
42.0,abergy,4,no
43.0,proom,4,no
44.0,turmoil,1,yes
45.0,carbohydrate,1,yes
46.0,scholar,1,yes
47.0,turtle,1,yes
48.0,fellick,4,no
49.0,destription,4,no
50.0,cylinder,1,yes
51.0,censorship,1,yes
52.0,celestial,1,yes
53.0,rascal,1,yes
54.0,purrage,4,no
55.0,pulsh,4,no
56.0,muddy,1,yes
57.0,quirty,4,no
58.0,pudour,4,no
59.0,listless,1,yes
60.0,wrought,1,yes
