Order,Word,Translation,corrAnsEspV,
0.0,pladeno,NW,4,
0.0,delantera,first position,1,
0.0,garbardina,raincoat,1,
1.0,terzo,NW,4,
2.0,pellizcar,pinch,1,
3.0,pulmones,lungs,1,
4.0,batillón,NW,4,
5.0,zapato,shoe,1,
6.0,tergiversar,distort,1,
7.0,pésimo,abysmal,1,
8.0,cadeña,NW,4,
9.0,hacha,axe,1,
10.0,antar,NW,4,
11.0,cenefa,edging,1,
12.0,asesinato,murder,1,
13.0,helar,freeze,1,
14.0,yunque,anvil,1,
15.0,regar,water,1,
16.0,abracer,NW,4,
17.0,floroso,NW,4,
18.0,arsa,NW,4,
19.0,brecedad,NW,4,
20.0,ávido,avid,1,
21.0,capillo,NW,4,
22.0,lacayo,lackey,1,
23.0,lampera,NW,4,
24.0,látigo,whip,1,
25.0,bisagra,hinge,1,
26.0,secuestro,kidnapping,1,
27.0,acutación,NW,4,
28.0,merodear,prowl,1,
29.0,decar,NW,4,
30.0,alardio,NW,4,
31.0,pandilla,gang,1,
32.0,fatacidad,NW,4,
33.0,pauca,NW,4,
34.0,aviso,notice,1,
35.0,rompido,NW,4,
36.0,loro,parrot,1,
37.0,granuja,rascal,1,
38.0,estornudar,sneeze,1,
39.0,torpe,clumsy,1,
40.0,alfombra,carpet,1,
41.0,rebuscar,rummage,1,
42.0,cadallo,NW,4,
43.0,canela,cinnamon,1,
44.0,cuchara,spoon,1,
45.0,jilguero,goldfinch,1,
46.0,martillo,hammer,1,
47.0,cartinar,NW,4,
48.0,ladrón,thief,1,
49.0,ganar,win,1,
50.0,flamida,NW,4,
51.0,candado,padlock,1,
52.0,camisa,shirt,1,
53.0,vegada,NW,4,
54.0,fomentar,promote,1,
55.0,nevar,snow,1,
56.0,musgo,moss,1,
57.0,tacaño,stingy,1,
58.0,plaudir,NW,4,
59.0,besar,kiss,1,
60.0,matar,kill,1,
61.0,seda,silk,1,
62.0,flaco,skinny,1,
63.0,esposante,NW,4,
64.0,orgulloso,proud,1,
65.0,bizcocho,cake,1,
66.0,hacido,NW,4,
67.0,cabello,hair,1,
68.0,alegre,cheerful,1,
69.0,engatusar,cajole,1,
70.0,temblo,NW,4,
71.0,polvoriento,dusty,1,
72.0,pemición,NW,4,
73.0,hervidor,kettle,1,
74.0,cintro,NW,4,
75.0,yacer,lie,1,
76.0,atar,tie,1,
77.0,tiburón,shark,1,
78.0,frondoso,leafy,1,
79.0,tropaje,NW,4,
80.0,hormiga,ant,1,
81.0,pozo,well,1,
82.0,empirador,NW,4,
83.0,guante,glove,1,
84.0,escuto,NW,4,
85.0,laud,lute,1,
86.0,barato,cheap,1,
87.0,grodo,NW,4,
88.0,acantilado,cliff,1,
89.0,prisa,hurry,1,
90.0,clavel,carnation,1,.
