syllabification,Unnamed: 0,corrSyl,corrAns,leftKey,rightKey,condition
balada,0,BA,3,BAL,BA,AB
baldosa,1,BAL,2,BAL,BA,AB
bolero,2,BO,3,BOL,BO,AB
bolsillo,3,BOL,2,BOL,BO,AB
camisa,4,CA,3,CAM,CA,AB
campana,5,CAM,2,CAM,CA,AB
casilla,6,CA,3,CAS,CA,AB
castillo,7,CAS,2,CAS,CA,AB
ceniza,8,CE,3,CEN,CE,AB
centavo,9,CEN,2,CEN,CE,AB
cereza,10,CE,3,CER,CE,AB
cerveza,11,CER,2,CER,CE,AB
coraje,12,CO,3,COR,CO,AB
corbata,13,COR,2,COR,CO,AB
corona,14,CO,3,COR,CO,AB
corteza,15,COR,2,COR,CO,AB
cosecha,16,CO,3,COS,CO,AB
costilla,17,COS,2,COS,CO,AB
culebra,18,CU,3,CUL,CU,AB
culpable,19,CUL,2,CUL,CU,AB
ganancia,20,GA,3,GAN,GA,AB
ganchillo,21,GAN,2,GAN,GA,AB
garaje,22,GA,3,GAR,GA,AB
garganta,23,GAR,2,GAR,GA,AB
jornada,24,JOR,2,JOR,JO,AB
joroba,25,JO,3,JOR,JO,AB
limosna,26,LI,3,LIM,LI,AB
limpieza,27,LIM,2,LIM,LI,AB
linaje,28,LI,3,LIN,LI,AB
linterna,29,LIN,2,LIN,LI,AB
moneda,30,MO,3,MON,MO,AB
montaña,31,MON,2,MON,MO,AB
morcillo,32,MOR,2,MOR,MO,AB
morera,33,MO,3,MOR,MO,AB
muralla,34,MU,3,MUR,MU,AB
murmullo,35,MUR,2,MUR,MU,AB
palmera,36,PAL,2,PAL,PA,AB
paloma,37,PA,3,PAL,PA,AB
pasaje,38,PA,3,PAS,PA,AB
pastilla,39,PAS,2,PAS,PA,AB
pereza,40,PE,3,PER,PE,AB
permiso,41,PER,2,PER,PE,AB
peseta,42,PE,3,PES,PE,AB
pestaña,43,PES,2,PES,PE,AB
rosario,44,RO,3,ROS,RO,AB
rosquilla,45,ROS,2,ROS,RO,AB
volante,46,VO,3,VOL,VO,AB
voltaje,47,VOL,2,VOL,VO,AB
