Order,Word,corrAnsEngV,ciclo.thisRepN,ciclo.thisTrialN,ciclo.thisN,ciclo.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
0,platery,0,0,0,0,0,0,1,1.5032364989999678,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
0,denial,1,0,1,1,1,1,1,0.8822981089999757,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
0,generic,1,0,2,2,2,1,1,0.7164542820000861,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
1,mensible,0,0,3,3,3,0,1,1.0333841260001009,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
2,scornful,1,0,4,4,4,1,1,0.9340540010000495,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
3,stoutly,1,0,5,5,5,1,1,1.1025046480001492,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
4,ablaze,1,0,6,6,6,1,1,0.8175697570000011,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
5,kermshaw,0,0,7,7,7,0,1,1.1171664890000557,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
6,moonlit,1,0,8,8,8,1,1,0.9840885559999606,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
7,lofty,1,0,9,9,9,1,1,0.9338156960000106,recording,2019_Mar_15_1011,decision_lexica_visual,3.0.5,60.13344670171327,
