Order,Word,Translation,corrAnsEspV,ciclo.thisRepN,ciclo.thisTrialN,ciclo.thisN,ciclo.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
0,pladeno,NW,0,0,0,0,0,1,0,11.307555574000617,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
0,delantera,first position,1,0,1,1,1,0,0,5.972894262999944,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
0,garbardina,raincoat,1,0,2,2,2,1,1,0.9985590639998918,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
1,terzo,NW,0,0,3,3,3,0,1,0.7209898000000976,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
2,pellizcar,pinch,1,0,4,4,4,1,1,0.8183629050008676,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
3,pulmones,lungs,1,0,5,5,5,0,0,0.8844953560001159,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
4,batillón,NW,0,0,6,6,6,1,0,0.7514107070001046,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
5,zapato,shoe,1,0,7,7,7,0,0,0.6853821149998112,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
6,tergiversar,distort,1,0,8,8,8,1,1,0.7673536800002694,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
7,pésimo,abysmal,1,0,9,9,9,0,0,0.8023837569999159,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
8,cadeña,NW,0,0,10,10,10,0,1,1.0810127819995614,recording,2019_Mar_14_2223,decision_lexica_visual,3.0.5,60.32292199338998,
