"labels","block01","filler01","check01","block02","filler02","check02","block03","filler03","check03","block04","filler04","check04","block05","filler05","check05","block06","filler06","check06","block07","filler07","check07","block08","filler08","check08"
"practiceListA","practiceListA0","","","practiceListA1","","","practiceListA2","","","practiceListA3","","","practiceListA4","","","practiceListA5","","","practiceListA6","","","practiceListA7","",""
"listLabel","RealP2","","","RealP4","","","PseudoP2","","","PseudoP3","","","RealP3","","","PseudoP1","","","PseudoP4","","","RealP1","",""
"targetSyl","sil","","","cos","","","si","","","ven","","","ve","","","del","","","co","","","de","",""
"carrierItem","silbido","silbido","CVC","cosigna","cosigna","CV","sildedo","sildedo","CVC","venuro","venuro","CV","venado","venado","CV","delbides","delbides","CVC","coserna","coserna","CV","deltoides","deltoides","CVC"
"filleritem1","bacteria","bacteria","CVC","farsante","farsante","CVC","nencida","nencida","CVC","parvaza","parvaza","CVC","campaña","campaña","CVC","gimega","gimega","CV","navura","navura","CV","burrada","burrada","CVC"
"filleritem2","confianza","confianza","CVC","rivera","rivera","CV","farime","farime","CV","tarsallo","tarsallo","CVC","sarcasmo","sarcasmo","CVC","bascana","bascana","CVC","purjida","purjida","CVC","tungsteno","tungsteno","CVC"
"filleritem3","congreso","congreso","CVC","vergüenza","vergüenza","CVC","deciro","deciro","CV","sutnido","sutnido","CVC","gozada","gozada","CV","gaferdo","gaferdo","CV","vavipo","vavipo","CV","varilla","varilla","CV"
"filleritem4","poniente","poniente","CV","largueza","largueza","CVC","mordiso","mordiso","CVC","cortupto","cortupto","CVC","sordera","sordera","CVC","rorencio","rorencio","CV","dabtura","dabtura","CVC","ropero","ropero","CV"
"filleritem5","concepto","concepto","CVC","rabillo","rabillo","CV","vangurdo","vangurdo","CVC","tolina","tolina","CV","rasguño","rasguño","CVC","tusvuja","tusvuja","CVC","tencrido","tencrido","CVC","forraje","forraje","CVC"
"filleritem6","reguero","reguero","CV","regato","regato","CV","tocida","tocida","CV","simona","simona","CV","cizalla","cizalla","CV","vantema","vantema","CVC","dezida","dezida","CV","ramaje","ramaje","CV"
"filleritem7","noviazgo","noviazgo","CV","ternera","ternera","CVC","tenvila","tenvila","CVC","jagito","jagito","CV","pocilga","pocilga","CV","vinsosta","vinsosta","CVC","fensuace","fensuace","CVC","batuta","batuta","CV"
"filleritem8","donaire","donaire","CV","pureza","pureza","CV","devillo","devillo","CV","foscillo","foscillo","CVC","cigoto","cigoto","CV","nocena","nocena","CV","galgango","galgango","CVC","vaquilla","vaquilla","CV"
"filleritem9","recodo","recodo","CV","percance","percance","CVC","rofiolo","rofiolo","CV","tosaba","tosaba","CV","cornisa","cornisa","CVC","ricobo","ricobo","CV","binima","binima","CV","sufragio","sufragio","CVC"
"Checks_Balances","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0"
"","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check",""
"practiceListB","practiceListB0","","","practiceListB1","","","practiceListB2","","","practiceListB3","","","practiceListB4","","","practiceListB5","","","practiceListB6","","","practiceListB7","",""
"listLabel","RealP2","","","RealP4","","","PseudoP2","","","PseudoP3","","","RealP3","","","PseudoP1","","","PseudoP4","","","RealP1","",""
"targetSyl","si","","","co","","","sil","","","ve","","","ven","","","de","","","cos","","","del","",""
"carrierItem","silbido","silbido","CVC","cosigna","cosigna","CV","sildedo","sildedo","CVC","venuro","venuro","CV","venado","venado","CV","delbides","delbides","CVC","coserna","coserna","CV","deltoides","deltoides","CVC"
"filleritem1","bacteria","bacteria","CVC","farsante","farsante","CVC","nencida","nencida","CVC","parvaza","parvaza","CVC","campaña","campaña","CVC","gimega","gimega","CV","navura","navura","CV","burrada","burrada","CVC"
"filleritem2","confianza","confianza","CVC","rivera","rivera","CV","farime","farime","CV","tarsallo","tarsallo","CVC","sarcasmo","sarcasmo","CVC","bascana","bascana","CVC","purjida","purjida","CVC","tungsteno","tungsteno","CVC"
"filleritem3","congreso","congreso","CVC","vergüenza","vergüenza","CVC","deciro","deciro","CV","sutnido","sutnido","CVC","gozada","gozada","CV","gaferdo","gaferdo","CV","vavipo","vavipo","CV","varilla","varilla","CV"
