Order,Word,Translation,corrAnsEspV,lexEspLoop.thisRepN,lexEspLoop.thisTrialN,lexEspLoop.thisN,lexEspLoop.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,01_Participante (Participant):,02_Sesión (Session):,03_Nombre (First name):,04_Apellido (Last name):,05_Edad (Age):,06_Sexo (Gender):,07_País de nacimiento (Birth country):,08_Lugar de residencia (Place of residence):,09_Nivel más alto de formación académica (Highest level of formal education):,10_Idioma preferido (Preferred language):,date,expName,psychopyVersion,frameRate,
0,pladeno,NW,0,0,0,0,0,1,0,2.198759147999681,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
0,delantera,first position,1,0,1,1,1,4,0,0.28568158300004143,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
0,garbardina,raincoat,1,0,2,2,2,4,0,0.30231998899989776,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
1,terzo,NW,0,0,3,3,3,1,0,0.11953257399954964,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
2,pellizcar,pinch,1,0,4,4,4,4,0,1.0344181099999332,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
3,pulmones,lungs,1,0,5,5,5,4,0,0.00047941200000423123,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
4,batillón,NW,0,0,6,6,6,1,0,0.5855082160001075,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
5,zapato,shoe,1,0,7,7,7,1,1,0.037130112999875564,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
6,tergiversar,distort,1,0,8,8,8,1,1,0.08738433199960127,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
7,pésimo,abysmal,1,0,9,9,9,1,1,0.08660377399974095,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
8,cadeña,NW,0,0,10,10,10,4,0,17.045711399999618,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
9,hacha,axe,1,0,11,11,11,4,0,0.6313738730000296,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
10,antar,NW,0,0,12,12,12,4,0,0.30151770499969643,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
11,cenefa,edging,1,0,13,13,13,4,0,0.2021881900000153,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
12,asesinato,murder,1,0,14,14,14,4,0,0.2197146589996919,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
13,helar,freeze,1,0,15,15,15,4,0,0.23631762800005163,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
14,yunque,anvil,1,0,16,16,16,4,0,0.23542965800015736,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
15,regar,water,1,0,17,17,17,4,0,0.13697978399977728,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
16,abracer,NW,0,0,18,18,18,1,0,0.3993824209997001,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
17,floroso,NW,0,0,19,19,19,4,0,0.23651827399999092,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
18,arsa,NW,0,0,20,20,20,4,0,0.36930360099995596,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
19,brecedad,NW,0,0,21,21,21,4,0,0.25165322900011233,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
20,ávido,avid,1,0,22,22,22,4,0,0.28534720199968433,part000,A,,,,,,,,inglés,2019_Apr_18_1732,Segmentation,3.0.7,60.21687311590991,
