conditionC,stimuliListC0,stimuliListC1,stimuliListC2,stimuliListC3,stimuliListC4,stimuliListC5,stimuliListC6,stimuliListC7,stimuliListC8,stimuliListC9,stimuliListC10,stimuliListC11,stimuliListC12,stimuliListC13,stimuliListC14,stimuliListC15,stimuliListC16,stimuliListC17,stimuliListC18,stimuliListC19,stimuliListC20,stimuliListC21,stimuliListC22,stimuliListC23,stimuliListC24,stimuliListC25,stimuliListC26,stimuliListC27,stimuliListC28,stimuliListC29,stimuliListC30,stimuliListC31,stimuliListC32,stimuliListC33,stimuliListC34,stimuliListC35,stimuliListC36,stimuliListC37,stimuliListC38,stimuliListC39,stimuliListC40,stimuliListC41,stimuliListC42,stimuliListC43,stimuliListC44,stimuliListC45,stimuliListC46,stimuliListC47
listLabel,Real10,Real11,Pseudo02,Real03,Real21,Pseudo23,Pseudo21,Pseudo04,Pseudo20,Pseudo09,Real18,Pseudo11,Real04,Pseudo06,Pseudo10,Real17,Real15,Pseudo14,Pseudo07,Pseudo05,Real05,Pseudo16,Real06,Real01,Pseudo24,Real24,Real14,Real02,Real19,Real22,Pseudo12,Real16,Pseudo19,Pseudo15,Real23,Real12,Pseudo03,Pseudo13,Pseudo08,Real09,Pseudo22,Real13,Pseudo01,Real08,Pseudo18,Pseudo17,Real07,Real20
targetSyl,ros,per,cer,ga,cul,ca,mo,lim,bol,cor,pes,jo,bo,pas,ga,vo,pa,pe,mon,mu,jor,li,pal,ce,ros,co,ca,gar,bal,mo,cor,lin,cos,ce,cen,co,cu,gan,pe,mo,pal,co,vol,li,ca,ba,cas,mur
carrierItem,rosquilla,pereza,cerida,ganancia,culpable,cambena,moripa,limboza,bolfollo,corede,pestaña,jorteda,bolero,paseñe,garele,voltaje,pasaje,pesipa,monseña,murepla,jornada,linlirna,palmera,cerveza,rosvailla,coraje,campana,garganta,balada,montaña,cormiza,linaje,coslolla,cendevo,ceniza,cosecha,culseble,ganercia,pergoso,morcillo,palura,corteza,voleste,limosna,casozla,balega,casilla,muralla
filleritem1,pantalla,sandía,vofida,tejado,jarana,depite,cabsiva,poncilla,ricofo,palcillo,langosta,biluesa,narciso,tomida,tulvano,juntura,certeza,docado,hicuila,senena,zancada,parvida,gorguera,tinaja,tidioma,ventana,pescante,lumbrera,rendija,submundo,balzalla,tartana,divona,lirina,tardanza,zarzuela,nesedo,tifencio,dimena,zapato,denciña,bengala,tidencio,portillo,demida,soponso,punzada,testigo
filleritem2,lenguaje,soltura,moncura,zumbido,sarmiento,neteno,dinona,sobisco,necoto,bitero,jilguero,cividra,gustillo,devita,cicauco,recinto,cordero,normaso,lisnombre,viztura,tumulto,sociare,tijera,sonrisa,cinsecho,bufete,pestillo,polvillo,tortuga,laxante,fimegra,portazo,mipcura,bitena,tornillo,perchero,deñalla,pificha,canveta,venganza,cecaja,lanzazo,parsida,sobaco,nemeto,zictencia,mortaja,vestuario
filleritem3,cambiazo,ginebra,biñena,postigo,verdura,nenedo,sentirro,nurese,perdisno,lenfasta,gordura,gantarna,tumbona,civillo,dusnuente,ternura,cordura,borpanza,tecillo,cosdura,ventaja,decanro,conducta,sandalia,bimena,palmada,filete,solera,semilla,vislumbre,dulcura,vereda,fivalia,gifema,ruptura,perfidia,varime,ciroca,gantina,fastidio,vestolcio,pimiento,ducoste,respuesta,pirijuo,turjuma,puntilla,poltrona
filleritem4,campiña,solvencia,dosmuente,portento,tobillo,dedioro,puscalla,fascuna,vifema,nansaso,cigarro,bidena,fundillo,cunceza,numete,gentuza,mordaza,daviba,pargaza,bipero,bufanda,taviño,vivero,pancarta,lectorio,pandilla,ponencia,pujanza,torpeza,salchicha,zuscura,zarpazo,baldeblo,tubala,durmiente,persiana,fantarna,tocensia,nuseto,secuela,cicora,vigencia,banfalla,garbanzo,bercillo,cuntefa,lenteja,lactancia
filleritem5,putada,jactancia,lunino,tortazo,vertiente,sobvondo,cicisa,hobita,nundero,tudala,fantoche,piglillo,farola,runrullo,tildona,serpiente,mordisco,cabsero,cicaimo,civicha,tintero,pospana,fortuna,bolzano,denfiña,bandera,felpudo,mensaje,sortija,lectura,nafiaca,jasmina,venetlo,torsenza,burbuja,barbilla,norita,detnana,zaldizo,pulgada,sinvera,pulsera,sitena,corneta,penvalla,cicaigo,vendaje,vestigio
filleritem6,pileta,subsuelo,tunsuja,reliquia,tarjeta,tunruja,nacañe,fañeilla,recoltre,delido,laguna,tinneza,rastrillo,mingrago,mufenza,reducto,relente,tutmuja,fernuera,lastadia,piscina,poscallo,cornada,pimienta,fimallo,visillo,suspenso,tendencia,tersura,tufillo,binero,captura,renirco,midena,viruela,viraje,permaza,tercajo,naverdo,vistazo,simedo,pesquisa,fusgudo,pozuelo,voltura,soreto,remanso,tapete
filleritem7,legajo,suceso,noñita,riqueza,fijeza,sunsanso,fensuale,costonche,tecterio,nastallo,jacinto,fuzallo,recato,rizgura,cuntela,tarima,rudeza,talaja,rucilla,siquija,vigilia,gerotio,regata,fajardo,canreza,lenguado,rebeca,cimiento,picota,resabio,puljida,recurso,mifena,tarbenga,lavabo,redada,dipona,berlillo,vicime,taquilla,donania,bufido,meptrona,barcaza,morliso,dosbiente,tobera,dolencia
filleritem8,veleta,juguete,fampioza,semblanza,tesoro,sutmido,suñuela,reninso,canfleco,vinsenza,duquesa,vendagio,tetilla,duliste,pembanse,recado,gomina,gorente,viltancia,vintoble,pupitre,tusorto,cigarra,pomada,mifero,velorio,ribazo,sopapo,sotana,rapiña,tanera,tocino,ventoble,lasgüenza,butaca,naranjo,fangurdo,zurdado,tivencio,vejiga,vinterca,tisana,deroda,sureste,febago,fontama,rimero,tibieza
filleritem9,pitillo,jinete,tonvanza,rejilla,teniente,tituila,punfullo,tenguga,nidero,fivancia,dominio,bimina,jarabe,cubteha,sufiasa,sepulcro,ciruelo,lultame,sabiba,caljero,bigote,tercega,giralda,gotera,demonto,jaqueca,velero,tiniebla,sonido,tesina,vuzarda,dureza,bardana,ruspina,ribera,navaja,manvera,torsanga,lisbombre,cilindro,cencera,vinilo,senrera,torija,lercuente,decibio,fineza,pizarra
