syllabification,corrSyl,corrAns,keyCVC,keyCV
balada,ba,2.0,bal,ba
baldosa,bal,1.0,bal,ba
bolero,bo,2.0,bol,bo
bolsillo,bol,1.0,bol,bo
camisa,ca,2.0,cam,ca
campana,cam,1.0,cam,ca
casilla,ca,2.0,cas,ca
castillo,cas,1.0,cas,ca
ceniza,ce,2.0,cen,ce
centavo,cen,1.0,cen,ce
cereza,ce,2.0,cer,ce
cerveza,cer,1.0,cer,ce
coraje,co,2.0,cor,co
corbata,cor,1.0,cor,co
corona,co,2.0,cor,co
corteza,cor,1.0,cor,co
cosecha,co,2.0,cos,co
costilla,cos,1.0,cos,co
culebra,cu,2.0,cul,cu
culpable,cul,1.0,cul,cu
ganancia,ga,2.0,gan,ga
ganchillo,gan,1.0,gan,ga
garaje,ga,2.0,gar,ga
garganta,gar,1.0,gar,ga
