syllabification,corrSyl,corrAns,keyCVC,keyCV
jornada,jor,1.0,jor,jo
joroba,jo,2.0,jor,jo
limosna,li,2.0,lim,li
limpieza,lim,1.0,lim,li
linaje,li,2.0,lin,li
linterna,lin,1.0,lin,li
moneda,mo,2.0,mon,mo
montaña,mon,1.0,mon,mo
morcillo,mor,1.0,mor,mo
morera,mo,2.0,mor,mo
muralla,mu,2.0,mur,mu
murmullo,mur,1.0,mur,mu
palmera,pal,1.0,pal,pa
paloma,pa,2.0,pal,pa
pasaje,pa,2.0,pas,pa
pastilla,pas,1.0,pas,pa
pereza,pe,2.0,per,pe
permiso,per,1.0,per,pe
peseta,pe,2.0,pes,pe
pestaña,pes,1.0,pes,pe
rosario,ro,2.0,ros,ro
rosquilla,ros,1.0,ros,ro
volante,vo,2.0,vol,vo
voltaje,vol,1.0,vol,vo
