syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
balada,ba,2.0,bal,ba,C
paloma,pa,2.0,pal,pa,C
bolero,bo,2.0,bol,bo,C
volante,vo,2.0,vol,vo,C
culebra,cu,2.0,cul,cu,C
garaje,ga,2.0,gar,ga,C
cereza,ce,2.0,cer,ce,C
pereza,pe,2.0,per,pe,C
coraje,co,2.0,cor,co,C
corona,co,2.0,cor,co,C
joroba,jo,2.0,jor,jo,C
morera,mo,2.0,mor,mo,C
murmullo,mur,1.0,mur,mu,C
centavo,cen,1.0,cen,ce,C
linterna,lin,1.0,lin,li,C
montaña,mon,1.0,mon,mo,C
campana,cam,1.0,cam,ca,C
limpieza,lim,1.0,lim,li,C
castillo,cas,1.0,cas,ca,C
pestaña,pes,1.0,pes,pe,C
costilla,cos,1.0,cos,co,C
rosquilla,ros,1.0,ros,ro,C
ganchillo,gan,1.0,gan,ga,C
pastilla,pas,1.0,pas,pa,C
