,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
0,baldosa,bal,1.0,bal,ba,A
1,palmera,pal,1.0,pal,pa,A
2,bolsillo,bol,1.0,bol,bo,A
3,voltaje,vol,1.0,vol,vo,A
4,culpable,cul,1.0,cul,cu,A
5,garganta,gar,1.0,gar,ga,A
6,cerveza,cer,1.0,cer,ce,A
7,permiso,per,1.0,per,pe,A
8,corbata,cor,1.0,cor,co,A
9,corteza,cor,1.0,cor,co,A
10,jornada,jor,1.0,jor,jo,A
11,morcillo,mor,1.0,mor,mo,A
12,muralla,mu,2.0,mur,mu,A
13,ceniza,ce,2.0,cen,ce,A
14,linaje,li,2.0,lin,li,A
15,moneda,mo,2.0,mon,mo,A
16,camisa,ca,2.0,cam,ca,A
17,limosna,li,2.0,lim,li,A
18,casilla,ca,2.0,cas,ca,A
19,peseta,pe,2.0,pes,pe,A
20,cosecha,co,2.0,cos,co,A
21,rosario,ro,2.0,ros,ro,A
22,ganancia,ga,2.0,gan,ga,A
23,pasaje,pa,2.0,pas,pa,A
