,syllabification,corrSyl,corrAns,keyCVC,keyCV
24,jornada,jor,1.0,jor,jo
25,joroba,jo,2.0,jor,jo
26,limosna,li,2.0,lim,li
27,limpieza,lim,1.0,lim,li
28,linaje,li,2.0,lin,li
29,linterna,lin,1.0,lin,li
30,moneda,mo,2.0,mon,mo
31,montaña,mon,1.0,mon,mo
32,morcillo,mor,1.0,mor,mo
33,morera,mo,2.0,mor,mo
34,muralla,mu,2.0,mur,mu
35,murmullo,mur,1.0,mur,mu
36,palmera,pal,1.0,pal,pa
37,paloma,pa,2.0,pal,pa
38,pasaje,pa,2.0,pas,pa
39,pastilla,pas,1.0,pas,pa
40,pereza,pe,2.0,per,pe
41,permiso,per,1.0,per,pe
42,peseta,pe,2.0,pes,pe
43,pestaña,pes,1.0,pes,pe
44,rosario,ro,2.0,ros,ro
45,rosquilla,ros,1.0,ros,ro
46,volante,vo,2.0,vol,vo
47,voltaje,vol,1.0,vol,vo
