,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
48,balada,ba,2.0,bal,ba,C
49,paloma,pa,2.0,pal,pa,C
50,bolero,bo,2.0,bol,bo,C
51,volante,vo,2.0,vol,vo,C
52,culebra,cu,2.0,cul,cu,C
53,garaje,ga,2.0,gar,ga,C
54,cereza,ce,2.0,cer,ce,C
55,pereza,pe,2.0,per,pe,C
56,coraje,co,2.0,cor,co,C
57,corona,co,2.0,cor,co,C
58,joroba,jo,2.0,jor,jo,C
59,morera,mo,2.0,mor,mo,C
60,murmullo,mur,1.0,mur,mu,C
61,centavo,cen,1.0,cen,ce,C
62,linterna,lin,1.0,lin,li,C
63,montaña,mon,1.0,mon,mo,C
64,campana,cam,1.0,cam,ca,C
65,limpieza,lim,1.0,lim,li,C
66,castillo,cas,1.0,cas,ca,C
67,pestaña,pes,1.0,pes,pe,C
68,costilla,cos,1.0,cos,co,C
69,rosquilla,ros,1.0,ros,ro,C
70,ganchillo,gan,1.0,gan,ga,C
71,pastilla,pas,1.0,pas,pa,C
