partNum,group
part001,English
part002,Childhood
part003,English
part004,English
part005,English
part006,English
part007,English
part008,English
part009,English
part010,English
part011,Childhood
part012,Childhood
part013,Childhood
part014,Childhood
part015,Childhood
part016,Spanish
part017,Spanish
part018,Spanish
part019,Spanish
part020,Spanish
part021,Spanish
part022,Spanish
part023,Spanish
part024,Spanish
part025,Spanish
part026,Spanish
part027,Spanish
part028,Spanish
part029,Spanish
part030,Spanish
part031,Spanish
part032,Spanish
part033,Spanish
part034,Spanish
part035,English
part036,Childhood
part037,Childhood
part038,Childhood
part039,Childhood
part040,English
part041,Childhood
part042,Childhood
part043,Childhood
part044,English
part045,English
part046,Childhood
part047,Spanish
part048,Spanish
part049,Spanish
part050,Spanish
part051,Spanish
part052,Spanish
part053,Spanish
part054,Spanish
part055,Spanish
part056,Spanish
part057,Spanish
part058,Spanish
part059,Spanish
part060,Spanish
part061,Spanish
part062,Spanish
part063,Spanish
part064,Spanish
part065,Spanish
part066,Spanish
part067,Spanish
part068,Spanish
part069,Spanish
part070,Spanish
part071,Spanish
part072,Spanish
part073,Spanish
part074,Spanish
part075,Spanish
part076,Spanish
part077,Spanish
part078,Spanish
part079,English
part080,English
part081,English
part082,English
part083,English
part084,English
part085,English
part086,English
part087,English
part088,English
part089,English
part090,English
part091,Childhood
part092,Childhood
part093,English
part094,Childhood
part095,English
part096,English
part097,English
part098,English
part099,English
part100,English
part101,English
part102,English
part103,Childhood
part104,English
part105,Childhood
part106,English
part107,English
part108,Childhood
part109,Childhood
part110,English
part111,Childhood
part112,Childhood
part113,English
part114,English
part115,English
part116,English
part117,Childhood
part118,English
part119,English
part120,English
part121,English
part122,English
part123,English
part124,English
part125,Childhood
part126,Childhood
part127,Childhood
part128,Childhood
part129,English
part130,English
part131,Childhood
part132,English
part133,Childhood
part134,Childhood
part135,Childhood
part200,Monolingual Spanish
part201,Monolingual Spanish
part202,Monolingual Spanish
part203,Monolingual Spanish
part204,Monolingual Spanish
part205,Monolingual Spanish
part206,Monolingual Spanish
part207,Monolingual Spanish
part208,Monolingual Spanish
part209,Monolingual Spanish
part210,Monolingual Spanish
part211,Monolingual Spanish
part212,Monolingual Spanish
part213,Monolingual Spanish
part214,Monolingual Spanish
part215,Monolingual Spanish
part216,Monolingual Spanish
part217,Monolingual Spanish
part218,Monolingual Spanish
part219,Monolingual Spanish
part220,Monolingual Spanish
part221,Monolingual Spanish
part222,Monolingual Spanish
part223,Monolingual Spanish
part224,Monolingual Spanish
part225,Monolingual Spanish
part226,Monolingual Spanish
part227,Monolingual Spanish
part228,Monolingual Spanish
part229,Monolingual Spanish
part230,Monolingual Spanish
part231,Monolingual Spanish
part232,Monolingual Spanish
part233,Monolingual Spanish
part234,Monolingual Spanish
part235,Monolingual Spanish
part236,Monolingual Spanish
part237,Monolingual Spanish
part238,Monolingual Spanish
part239,Monolingual Spanish
part240,Monolingual Spanish
part241,Monolingual Spanish
part242,Monolingual Spanish
part243,Monolingual Spanish
part244,Monolingual Spanish
part245,Monolingual Spanish
part246,Monolingual Spanish
part247,Monolingual Spanish
part248,Monolingual Spanish
part249,Monolingual Spanish
part250,Monolingual Spanish
part251,Monolingual Spanish
part252,Monolingual Spanish
part253,Monolingual Spanish
part254,Monolingual Spanish
part255,L2 Learner
part256,L2 Learner
part257,L2 Learner
part258,L2 Learner
part259,L2 Learner
part260,L2 Learner
part261,L2 Learner
part262,L2 Learner
part263,L2 Learner
part264,L2 Learner
part265,L2 Learner
part266,L2 Learner
part267,L2 Learner
part268,L2 Learner
part269,L2 Learner
part270,L2 Learner
part271,L2 Learner
part272,L2 Learner
part273,L2 Learner
part274,L2 Learner
part275,L2 Learner
part276,L2 Learner
part277,L2 Learner
part278,L2 Learner
part279,L2 Learner
part280,L2 Learner
part281,L2 Learner
part282,L2 Learner
part283,L2 Learner
part284,L2 Learner
part285,L2 Learner
part286,L2 Learner
part287,L2 Learner
part288,L2 Learner
part289,L2 Learner
part290,L2 Learner
part291,L2 Learner
part292,L2 Learner
part293,L2 Learner
part294,L2 Learner
part295,L2 Learner
part296,L2 Learner
part297,L2 Learner
part298,L2 Learner
part299,L2 Learner
part300,L2 Learner
part301,L2 Learner
part302,L2 Learner
part303,L2 Learner
part304,L2 Learner
part305,L2 Learner
part306,L2 Learner
part307,L2 Learner
part308,L2 Learner
part309,L2 Learner
part310,L2 Learner
part311,L2 Learner
part312,L2 Learner
part313,L2 Learner
part314,L2 Learner
part315,L2 Learner
part316,L2 Learner
part317,L2 Learner
part318,L2 Learner
part319,L2 Learner
part320,L2 Learner
part321,L2 Learner
part322,L2 Learner
part323,L2 Learner
part324,L2 Learner
part325,L2 Learner
part326,L2 Learner
part327,L2 Learner
part328,L2 Learner
part329,L2 Learner
part330,L2 Learner
part331,L2 Learner
part332,L2 Learner
part333,L2 Learner
