partNum,yes_to_word,yes_to_nonword,izura_score
5a4eabd13646f90001741bbf,60,7,46
5a875d6cf1408d0001769479,58,1,56
5a910c8a6475f900019f8cbc,60,19,22
5b501a2ba0daa60001a336d4,58,6,46
5b5fdd52b36c3400014718b9,58,4,50
5bdf91dbb32fa800012ea282,60,6,48
5c2e48a2867f660001afd5f1,57,9,39
5c47c2564a1fb4000136e14a,58,21,16
5c53e9b6b7cf140001d31e6a,59,8,43
5c90617326e3ed00019896a5,59,5,49
5cb025049495a600190e00f3,58,7,44
5cb6bdcd029f810001b23cfe,60,7,46
5cbe45745973850015f7b090,58,7,44
5cccd9bee48e6700175286ca,58,4,50
5d1288956e2c7b0016bbd0f6,59,12,35
5d366eba9749cc00185c21fb,58,7,44
5d51fdfb910d9e00017e62db,55,7,41
5d5496bdd84ebe0001f5fb20,55,1,53
5d58b26b5f36a80018f9975f,57,19,19
5dae5564baa8780015bc26a1,59,4,51
5e4877398af5eb310bc6f58f,55,6,43
5e522598d5aa4824b5829900,57,3,51
5e9010494d246b3095f0e5a0,55,7,41
5e9532e400703c8b14ab0e80,59,7,45
5e9fe54e71ba9919c2d11b0e,58,8,42
5ea1bad6173fb70a0dd4b01d,58,19,20
5eaeebe9db992b0488624216,59,17,25
5eb3966158efe7182e31ff92,60,11,38
5ebb2ee7b15eb00f0e3e2e71,58,4,50
5ebdf558e27afd134641d5dc,60,17,26
5ec1f0724553ff4e23b1f4ca,58,21,16
5ec354adf348311a5ee4019e,57,5,47
5ec3e5be68bbf2081da1eba2,60,13,34
5ec6a814c615390ad63cbf1f,57,8,41
5ec888262256df3457ab483b,57,13,31
5edac57737984c7168bedc3b,60,7,46
5ef58e6bd195c21efd19b29a,60,6,48
5ef6821865a4f11673527f75,58,14,30
5ef6c48340846d3c05b8236c,58,0,58
5ef930974bc6e0000848aff7,59,3,53
5efc0a523b88f81bec18ea9b,56,5,46
5efcbbdd231bde0af2edb847,58,4,50
5efe8b80a22068390f4e70f6,57,11,35
5efeb01f2e80083c611538ea,60,13,34
