X1,lextaleRespEsp,lextaleRespEspCorr,lextaleRespEspRT,lex_pres_order,word,translation,corrAnsEspV,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,Order,corrAns
3,m,1,2.79222,1,terzo,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
4,z,1,1.338895001,2,pellizcar,pinch,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
5,z,1,1.485315,3,pulmones,lungs,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
6,m,1,37.29058,4,batillón,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
7,z,1,1.09589,5,zapato,shoe,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
8,z,1,2.0968400000000003,6,tergiversar,distort,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
9,z,1,0.9272,7,pésimo,abysmal,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
10,m,1,25.11196,8,cadeña,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
11,z,1,1.274705,9,hacha,axe,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
12,m,1,14.756135,10,antar,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
13,z,1,1.274979999,11,cenefa,edging,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
14,z,1,0.8543149999999999,12,asesinato,murder,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
15,z,1,0.76772,13,helar,freeze,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
16,z,1,1.44029,14,yunque,anvil,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
17,z,1,0.755849999,15,regar,water,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
18,m,1,3.25232,16,abracer,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
19,z,0,28.30318,17,floroso,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
20,z,0,8.834659999,18,arsa,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
21,m,1,13.821895,19,brecedad,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
22,z,1,0.988135,20,ávido,avid,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
23,z,0,2.65566,21,capillo,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
24,z,1,0.8791950000000001,22,lacayo,lackey,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
25,m,1,15.104845,23,lampera,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
26,z,1,1.98836,24,látigo,whip,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
27,z,1,0.952134999,25,bisagra,hinge,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
28,z,1,0.82011,26,secuestro,kidnapping,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
29,z,0,0.667394999,27,acutación,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
30,z,1,2.603034999,28,merodear,prowl,z,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
31,m,1,1.718575001,29,decar,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
32,m,1,2.150760001,30,alardio,NW,m,30,Mujer,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5a4eabd13646f90001741bbf,2020-07-13_16h40.16.972,lemma_segmentation,Win32,5f0cd492299bd7197f1782d4,NA,NA
