,word,word_initial_syl,Fragment_Pairs,word_status,Ortho_Length,Phono_Length,Num_Syl,word_freq,IPA_Full,IPA_Stress,IPA_Narrow,IPA_Broad,meaning,Exp_Prac
0,balega,CV,ba-bal,Nonword,6.0,6.0,3.0,,ba.ˈle.ɣa,baˈleɣa,baleɣa,baleɣa,,Experimental
1,bolipo,CV,bo-bol,Nonword,6.0,6.0,3.0,,bo.ˈli.po,boˈlipo,bolipo,bolipo,,Experimental
2,camofa,CV,ca-cam,Nonword,6.0,6.0,3.0,,ka.ˈmo.fa,kaˈmofa,kamofa,kamofa,,Experimental
3,casozla,CV,ca-cas,Nonword,7.0,7.0,3.0,,ka.ˈsos̬.la,kaˈsos̬la,kasos̬la,kasosla,,Experimental
4,cenoca,CV,ce-cen,Nonword,6.0,6.0,3.0,,se.ˈno.ka,seˈnoka,senoka,senoka,,Experimental
5,cerida,CV,ce-cer,Nonword,6.0,6.0,3.0,,sɛ.ˈɾi.ða,sɛˈɾiða,sɛɾiða,sɛɾiða,,Experimental
6,corede,CV,co-cor,Nonword,6.0,6.0,3.0,,ko.ˈɾe.ðe,koˈɾeðe,koɾeðe,koɾeðe,,Experimental
7,corura,CV,co-cor,Nonword,6.0,6.0,3.0,,ko.ˈɾu.ɾa,koˈɾuɾa,koɾuɾa,koɾuɾa,,Experimental
8,cosiba,CV,co-cos,Nonword,6.0,6.0,3.0,,ko.ˈsi.βa,koˈsiβa,kosiβa,kosiβa,,Experimental
9,culitra,CV,cu-cul,Nonword,7.0,7.0,3.0,,ku.ˈlĩn.ra,kuˈlĩnra,kulĩnra,kulinra,,Experimental
10,ganercia,CV,ga-gan,Nonword,8.0,8.0,3.0,,ɡa.ˈnɛɾ.sja,ɡaˈnɛɾsja,ɡanɛɾsja,ɡanɛɾsja,,Experimental
11,garele,CV,ga-gar,Nonword,6.0,6.0,3.0,,ɡa.ˈɾe.le,ɡaˈɾele,ɡaɾele,ɡaɾele,,Experimental
12,joruma,CV,jo-jor,Nonword,6.0,6.0,3.0,,xo.ˈɾu.ma,xoˈɾuma,xoɾuma,xoɾuma,,Experimental
13,limucna,CV,li-lim,Nonword,7.0,7.0,3.0,,li.ˈmuf.na,liˈmufna,limufna,limufna,,Experimental
14,linele,CV,li-lin,Nonword,6.0,6.0,3.0,,li.ˈne.le,liˈnele,linele,linele,,Experimental
15,moniga,CV,mo-mon,Nonword,6.0,6.0,3.0,,mo.ˈni.ɣa,moˈniɣa,moniɣa,moniɣa,,Experimental
16,moripa,CV,mo-mor,Nonword,6.0,6.0,3.0,,mo.ˈɾi.pa,moˈɾipa,moɾipa,moɾipa,,Experimental
17,murepla,CV,mu-mur,Nonword,7.0,7.0,3.0,,mu.ˈɾɛs̬.la,muˈɾɛs̬la,muɾɛs̬la,muɾɛsla,,Experimental
18,palura,CV,pa-pal,Nonword,6.0,6.0,3.0,,pa.ˈlu.ɾa,paˈluɾa,paluɾa,paluɾa,,Experimental
19,paseñe,CV,pa-pas,Nonword,6.0,6.0,3.0,,pa.ˈse.ɲe,paˈseɲe,paseɲe,paseɲe,,Experimental
20,periga,CV,pe-per,Nonword,6.0,6.0,3.0,,pɛ.ˈɾi.ɣa,pɛˈɾiɣa,pɛɾiɣa,pɛɾiɣa,,Experimental
21,pesipa,CV,pe-pes,Nonword,6.0,6.0,3.0,,pe.ˈsi.pa,peˈsipa,pesipa,pesipa,,Experimental
22,rosepio,CV,ro-ros,Nonword,7.0,7.0,3.0,,ro.ˈse.pjo,roˈsepjo,rosepjo,rosepjo,,Experimental
23,voleste,CV,vo-vol,Nonword,7.0,7.0,3.0,,bo.ˈlɛs.te,boˈlɛste,bolɛste,bolɛste,,Experimental
24,balbusa,CVC,ba-bal,Nonword,7.0,7.0,3.0,,bal.ˈβu.sa,balˈβusa,balβusa,balβusa,,Experimental
25,bolfollo,CVC,bo-bol,Nonword,8.0,7.0,3.0,,bol.ˈfo.ʝo,bolˈfoʝo,bolfoʝo,bolfoʝo,,Experimental
26,cambena,CVC,ca-cam,Nonword,7.0,7.0,3.0,,kãm.ˈbe.na,kãmˈbena,kãmbena,kambena,,Experimental
27,casgollo,CVC,ca-cas,Nonword,8.0,7.0,3.0,,kas̬.ˈɣo.ʝo,kas̬ˈɣoʝo,kas̬ɣoʝo,kasɣoʝo,,Experimental
28,cendevo,CVC,ce-cen,Nonword,7.0,7.0,3.0,,sɛ̃n̪.ˈde.βo,sɛ̃n̪ˈdeβo,sɛ̃n̪deβo,sɛndeβo,,Experimental
29,cerliza,CVC,ce-cer,Nonword,7.0,7.0,3.0,,sɛɾ.ˈli.sa,sɛɾˈlisa,sɛɾlisa,sɛɾlisa,,Experimental
30,corteta,CVC,co-cor,Nonword,7.0,7.0,3.0,,koɾ.ˈtɛ.ta,koɾˈtɛta,koɾtɛta,koɾtɛta,,Experimental
31,cormiza,CVC,co-cor,Nonword,7.0,7.0,3.0,,koɾ.ˈmi.sa,koɾˈmisa,koɾmisa,koɾmisa,,Experimental
32,coslolla,CVC,co-cos,Nonword,8.0,7.0,3.0,,kos̬.ˈlo.ʝa,kos̬ˈloʝa,kos̬loʝa,kosloʝa,,Experimental
33,culseble,CVC,cu-cul,Nonword,8.0,8.0,3.0,,kul.ˈse.βle,kulˈseβle,kulseβle,kulseβle,,Experimental
34,ganquillo,CVC,ga-gan,Nonword,9.0,7.0,3.0,,ɡãŋ.ˈki.ʝo,ɡãŋˈkiʝo,ɡãŋkiʝo,ɡaŋkiʝo,,Experimental
