,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
0,bacante,0.71,CV,0.0,Priestess,bacante lex freq. is from LEXESP in NIM,Keep
1,bacteria,3.3894230769230766,CVC,8.0,bacteria,,Keep
2,balance,5.2644230769230775,CV,0.0,balance,,Keep
3,balanza,2.4759615384615383,CV,0.0,scale (balance),,Keep
4,balazo,3.4134615384615383,CV,0.0,shot,,Keep
5,balbina,9.237,CVC,4.0,Saint Balbina,balbina lex freq. is from LEXESP in NIM,Keep
6,bandera,15.240384615384615,CVC,8.0,flag,,Keep
7,bañera,10.240384615384617,CV,0.0,bathtub,,Keep
8,baqueta,0.53,CV,0.0,ramrod; drumstick,baqueta lex freq. is from LEXESP in NIM,Keep
9,baranda,1.0576923076923077,CV,0.0,banister,,Keep
10,barbecho,0.07211538461538461,CVC,4.0,fallow,,Keep
11,barbilla,3.774038461538461,CVC,8.0,chin,,Keep
12,barcaza,1.1298076923076923,CVC,8.0,barge,,Keep
13,barraca,1.1778846153846154,CVC,0.0,shack; stall,,Keep
14,barranca,0.3605769230769231,CVC,0.0,ravine,,Keep
15,barranco,2.355769230769231,CVC,0.0,ravine,,Keep
16,barrera,6.5144230769230775,CVC,0.0,barriar,,Keep
17,barullo,0.8413461538461539,CV,0.0,racket (noise),,Keep
18,bastilla,0.28846153846153844,CVC,0.0,hem,,Keep
19,basura,112.93269230769229,CV,0.0,trash,,Keep
20,batuta,0.3125,CV,8.0,baton (music),,Keep
21,beccaria,0.53,CVC,0.0,scholarship holder,beccaria lex freq. is from LEXESP in NIM,Keep
22,becerro,0.5288461538461539,CV,0.0,young bull,,Keep
23,belgrado,1.6105769230769231,CVC,0.0,Belgrade,,Keep
24,bellota,0.5048076923076923,CVC,0.0,acorn,,Keep
25,benceno,0.4326923076923077,CVC,0.0,benzene,,Keep
26,bencina,1.95,CVC,0.0,benzine,bencina lex freq. is from LEXESP in NIM,Keep
27,bengala,2.4759615384615383,CVC,8.0,flare,,Keep
28,berrido,1.07,CVC,0.0,bellow,berrido lex freq. is from LEXESP in NIM,Keep
29,bigote,10.120192307692307,CV,8.0,mustache,,Keep
30,bilbao,13.23,CVC,0.0,Bilbao,bilbao lex freq. is from LEXESP in NIM,Keep
31,billete,10.673076923076923,CVC,0.0,ticket,,Keep
32,binomio,0.048076923076923066,CV,0.0,binomial,,Keep
33,boleto,21.25,CV,0.0,ticket,,Keep
34,bolzano,0.711,CVC,8.0,City (in Italy),bolzano lex freq. is from LEXESP in NIM,Keep
35,budismo,1.2259615384615383,CV,0.0,Budism,,Keep
36,bufanda,4.038461538461538,CV,4.0,scarf,,Keep
37,bufete,5.072115384615384,CV,8.0,law office,,Keep
38,bufido,0.048076923076923066,CV,8.0,snort,,Keep
39,bulgaria,1.033653846153846,CVC,0.0,Bulgaria,,Keep
40,bulimia,0.8413461538461539,CV,0.0,bulimia,,Keep
41,burbuja,6.730769230769232,CVC,8.0,bubble,,Keep
42,burela,0.53,CV,0.0,taunt,burela lex freq. is from LEXESP in NIM,Keep
43,burrada,0.14423076923076922,CVC,8.0,nonsense,,Keep
44,butaca,0.4567307692307692,CV,8.0,arm chair,,Keep
45,cadera,6.2980769230769225,CV,0.0,hip,,Keep
46,caldera,2.9326923076923075,CVC,2.0,large pot,,Keep
47,caldero,0.7932692307692307,CVC,0.0,cauldron,,Keep
