,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block35,campana,CVC,CV,ca,word,mismatch,cam,cam,critical,b
1,block35,porfía,CVC,CV,ca,word,mismatch,cam,por,filler01,None
2,block35,ternera,CVC,CV,ca,word,mismatch,cam,ter,filler02,None
3,block35,poniente,CV,CV,ca,word,match,cam,pon,filler03,None
4,block35,ponencia,CV,CV,ca,word,match,cam,pon,filler04,None
5,block35,felpudo,CVC,CV,ca,word,mismatch,cam,fel,filler05,None
6,block35,suspenso,CVC,CV,ca,word,mismatch,cam,sus,filler06,None
7,block35,topacio,CV,CV,ca,word,match,cam,top,filler07,None
8,block35,ribazo,CV,CV,ca,word,match,cam,rib,filler08,None
9,block35,noviazgo,CV,CV,ca,word,match,cam,nov,filler09,None
