,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,numete,CV,CV,ga,nonword,match,gar,num,filler04,,,,,
94,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01,,,,,
95,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05,,,,,
96,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,dusnuente,CVC,CV,ga,nonword,mismatch,gar,dus,filler03,,,,,
97,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06,,,,,
98,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,garele,CV,CV,ga,nonword,match,gar,gar,critical,,,,,
99,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
100,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02,,,,,
101,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block09,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
103,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06,,,,,
104,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
105,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
106,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
107,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
108,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05,,,,,
109,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
110,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,joroba,CV,CV,jo,word,match,jor,jor,critical,,,,,
111,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
113,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,cimiento,CV,CV,ga,word,match,gar,cim,filler07,,,,,
114,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,tiniebla,CV,CV,ga,word,match,gar,tin,filler09,,,,,
115,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,solera,CV,CV,ga,word,match,gar,sol,filler03,,,,,
116,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02,,,,,
117,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,sopapo,CV,CV,ga,word,match,gar,sop,filler08,,,,,
118,22,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,ambos,inglés,5dc797a6a4cc4255f8ea588e,2020-07-17_15h40.54.557,lemma_segmentation,MacIntel,5f1228ac5688f515cef1a93f,block03,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01,,,,,
