,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
94,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
95,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
96,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
97,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
98,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
99,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08,,,,,
100,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
101,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
103,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
104,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
105,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
106,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
107,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06,,,,,
108,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07,,,,,
109,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
110,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
111,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block02,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05,,,,,
113,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,cividra,CV,CV,jo,nonword,match,jor,civ,filler02,,,,,
114,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03,,,,,
115,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06,,,,,
116,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08,,,,,
117,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07,,,,,
118,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,bimina,CV,CV,jo,nonword,match,jor,bim,filler09,,,,,
119,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,jorteda,CVC,CV,jo,nonword,mismatch,jor,jor,critical,,,,,
120,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05,,,,,
121,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block12,bidena,CV,CV,jo,nonword,match,jor,bid,filler04,,,,,
123,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
124,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,garaje,CV,CVC,gar,word,mismatch,gar,gar,critical,,,,,
125,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,semblanza,CVC,CVC,gar,word,match,gar,sem,filler08,,,,,
126,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,tetilla,CV,CVC,gar,word,mismatch,gar,tet,filler09,,,,,
127,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,pestillo,CVC,CVC,gar,word,match,gar,pes,filler05,,,,,
128,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
129,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
130,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
131,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block05,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
133,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block03,tendencia,CVC,CV,ga,word,mismatch,gar,ten,filler06,,,,,
134,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02,,,,,
135,33,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5dd733664524e76dc4537fe2,2020-07-17_17h57.44.650,lemma_segmentation,Win32,5f122b811d80f11611c0805c,block03,garganta,CVC,CV,ga,word,mismatch,gar,gar,critical,,,,,
