,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
94,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical,,,,,
95,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
96,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
97,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
98,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
99,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
100,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
101,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08,,,,,
103,35,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,español,5e56aab647b0010401dad5ee,2020-07-17_18h40.18.496,lemma_segmentation,Win32,5f122716cfe51315d2681f92,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07,,,,,
