,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
94,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
95,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07,,,,,
96,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06,,,,,
97,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
98,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,joroba,CV,CV,jo,word,match,jor,jor,critical,,,,,
99,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
100,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
101,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
103,18,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Escuela Secundaria,inglés,inglés,5ec5065ba6c1eb427a73be7c,2020-07-17_19h44.00.293,lemma_segmentation,Win32,5f1236fc22c615012eb3d6c0,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
