,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,segRespRT,exp_pres_order,corrAns
93,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,venganza,CVC,CVC,jor,word,match,jor,ven,filler02,,,,,
94,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
95,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
96,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01,,,,,
97,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03,,,,,
98,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,joroba,CV,CVC,jor,word,mismatch,jor,jor,critical,,,,,
99,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,piltrafa,CVC,CVC,jor,word,match,jor,pil,filler04,,,,,
100,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
101,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block06,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
103,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
104,21,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de universidad,inglés,inglés,5ee50130f8d19d080bcc8263,2020-07-17_18h36.06.725,lemma_segmentation,Win32,5f1227929b1f0b14efbd62ed,block15,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07,,,,,
