,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05,,,,,
94,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07,,,,,
95,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
96,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,joroba,CV,CV,jo,word,match,jor,jor,critical,,,,,
97,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
98,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
99,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
100,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
101,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
103,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block07,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
104,34,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,español,5f034e503ad29e522d6632aa,2020-07-17_18h44.10.227,lemma_segmentation,Win32,5f1226a8bf131c15b53ba8a8,block07,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
