,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06,,,,,
94,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
95,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
96,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05,,,,,
97,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
98,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
99,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
100,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,joroba,CV,CV,jo,word,match,jor,jor,critical,,,,,
101,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
103,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block16,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
104,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block16,tanera,CV,CVC,jor,nonword,mismatch,jor,tan,filler08,,,,,
105,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block16,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
106,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block16,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
107,26,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5f07a7464989193e97240278,2020-07-17_18h56.36.118,lemma_segmentation,Linux x86_64,5f123a5fac0c9101d716c494,block16,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
