,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block48,culseble,CVC,CVC,cul,nonword,match,cul,cul,critical,b
1,block48,dosgiente,CVC,CVC,cul,nonword,match,cul,dos,filler01,None
2,block48,tidencio,CV,CVC,cul,nonword,mismatch,cul,tid,filler02,None
3,block48,banfalla,CVC,CVC,cul,nonword,match,cul,ban,filler03,None
4,block48,sitena,CV,CVC,cul,nonword,mismatch,cul,sit,filler04,None
5,block48,senrera,CVC,CVC,cul,nonword,match,cul,sen,filler05,None
6,block48,bitena,CV,CVC,cul,nonword,mismatch,cul,bit,filler06,None
7,block48,torsenza,CVC,CVC,cul,nonword,match,cul,tor,filler07,None
8,block48,midena,CV,CVC,cul,nonword,mismatch,cul,mid,filler08,None
9,block48,gifema,CV,CVC,cul,nonword,mismatch,cul,gif,filler09,None
