,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
94,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,semblanza,CVC,CVC,gar,word,match,gar,sem,filler08,,,,,
95,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
96,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
97,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,garaje,CV,CVC,gar,word,mismatch,gar,gar,critical,,,,,
98,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
99,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
100,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,tetilla,CV,CVC,gar,word,mismatch,gar,tet,filler09,,,,,
101,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block05,tejado,CV,CVC,gar,word,mismatch,gar,tej,filler01,,,,,
103,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05,,,,,
104,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06,,,,,
105,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,bidena,CV,CV,jo,nonword,match,jor,bid,filler04,,,,,
106,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08,,,,,
107,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07,,,,,
108,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,jorteda,CVC,CV,jo,nonword,mismatch,jor,jor,critical,,,,,
109,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01,,,,,
110,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03,,,,,
111,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block12,cividra,CV,CV,jo,nonword,match,jor,civ,filler02,,,,,
113,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block08,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05,,,,,
114,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block08,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
115,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block08,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
116,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block08,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03,,,,,
117,43,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d45bbac3c5a360019b1bc43,2020-07-22_16h27.57.541,lemma_segmentation,Linux x86_64,5f18cb1d32d2050e53789b1d,block08,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
