,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04,,,,,
94,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01,,,,,
95,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,sucema,CV,CVC,gar,nonword,mismatch,gar,suc,filler03,,,,,
96,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
97,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06,,,,,
98,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09,,,,,
99,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07,,,,,
100,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,garventa,CVC,CVC,gar,nonword,match,gar,gar,critical,,,,,
101,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block15,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02,,,,,
103,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block06,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05,,,,,
104,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block06,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
105,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block06,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
106,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block06,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
107,37,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5d924f2a5b219e00183ae94b,2020-07-22_16h49.56.886,lemma_segmentation,Win32,5f18cdbba5c5890ffe5cd6aa,block06,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
