,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block04,baldosa,CVC,CVC,bal,word,match,bal,bal,critical,b
1,block04,punzada,CVC,CVC,bal,word,match,bal,pun,filler01,None
2,block04,mortaja,CVC,CVC,bal,word,match,bal,mor,filler02,None
3,block04,puntilla,CVC,CVC,bal,word,match,bal,pun,filler03,None
4,block04,vergüenza,CVC,CVC,bal,word,match,bal,ver,filler04,None
5,block04,vendaje,CVC,CVC,bal,word,match,bal,ven,filler05,None
6,block04,remanso,CV,CVC,bal,word,mismatch,bal,rem,filler06,None
7,block04,recodo,CV,CVC,bal,word,mismatch,bal,rec,filler07,None
8,block04,rimero,CV,CVC,bal,word,mismatch,bal,rim,filler08,None
9,block04,fineza,CV,CVC,bal,word,mismatch,bal,fin,filler09,None
