,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08,,,,,
94,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09,,,,,
95,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,garele,CV,CVC,gar,nonword,mismatch,gar,gar,critical,,,,,
96,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07,,,,,
97,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
98,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01,,,,,
99,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04,,,,,
100,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02,,,,,
101,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block13,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06,,,,,
103,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,tiniebla,CV,CV,ga,word,match,gar,tin,filler09,,,,,
104,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,pujanza,CV,CV,ga,word,match,gar,puj,filler04,,,,,
105,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,solera,CV,CV,ga,word,match,gar,sol,filler03,,,,,
106,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05,,,,,
107,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,garganta,CVC,CV,ga,word,mismatch,gar,gar,critical,,,,,
108,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,cimiento,CV,CV,ga,word,match,gar,cim,filler07,,,,,
109,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,sopapo,CV,CV,ga,word,match,gar,sop,filler08,,,,,
110,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02,,,,,
111,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block03,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01,,,,,
113,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block05,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
114,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block05,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
115,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block05,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
116,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block05,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
117,54,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,58477607f1b9b3000192bb01,2020-07-23_15h28.59.774,lemma_segmentation,Win32,5f19f27330bcb20bcddc94fc,block05,tejado,CV,CVC,gar,word,mismatch,gar,tej,filler01,,,,,
