,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,segRespRT,exp_pres_order,corrAns
93,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical,,,,,
94,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
95,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
96,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
97,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
98,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
99,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
100,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08,,,,,
101,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
103,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block09,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09,,,,,
104,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block09,garele,CV,CV,ga,nonword,match,gar,gar,critical,,,,,
105,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block09,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
106,34,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Un poco de escuela graduada,inglés,inglés,596e1af7a09655000197d4bb,2020-07-23_15h29.28.891,lemma_segmentation,Win32,5f19f267cbf55f0b37ec3bac,block09,numete,CV,CV,ga,nonword,match,gar,num,filler04,,,,,
