,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
94,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,pestillo,CVC,CVC,gar,word,match,gar,pes,filler05,,,,,
95,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,tejado,CV,CVC,gar,word,mismatch,gar,tej,filler01,,,,,
96,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,semblanza,CVC,CVC,gar,word,match,gar,sem,filler08,,,,,
97,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
98,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
99,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
100,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,tetilla,CV,CVC,gar,word,mismatch,gar,tet,filler09,,,,,
101,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block05,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
103,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04,,,,,
104,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
105,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,garganta,CVC,CVC,gar,word,match,gar,gar,critical,,,,,
106,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
107,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,tejado,CV,CVC,gar,word,mismatch,gar,tej,filler01,,,,,
108,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
109,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,pestillo,CVC,CVC,gar,word,match,gar,pes,filler05,,,,,
110,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,tufillo,CV,CVC,gar,word,mismatch,gar,tuf,filler08,,,,,
111,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block07,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
113,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07,,,,,
114,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02,,,,,
115,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08,,,,,
116,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,joroba,CV,CV,jo,word,match,jor,jor,critical,,,,,
117,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03,,,,,
118,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01,,,,,
119,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06,,,,,
120,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04,,,,,
121,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block02,bigote,CV,CV,jo,word,match,jor,big,filler09,,,,,
123,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05,,,,,
124,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
125,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
126,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,venganza,CVC,CVC,jor,word,match,jor,ven,filler02,,,,,
127,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,secuela,CV,CVC,jor,word,mismatch,jor,sec,filler04,,,,,
128,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
129,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03,,,,,
130,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01,,,,,
131,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block08,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
133,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,joruma,CV,CV,jo,nonword,match,jor,jor,critical,,,,,
134,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03,,,,,
135,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05,,,,,
136,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01,,,,,
137,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08,,,,,
138,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,"Universidad (diplomatura, licenciatura)",inglés,inglés,5d98a9515a1126001c5c095c,2020-07-24_05h35.13.428,lemma_segmentation,Win32,5f1ad340943b4f228b83f885,block10,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06,,,,,
