,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02,,,,,
94,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,garganta,CVC,CV,ga,word,mismatch,gar,gar,critical,,,,,
95,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,sopapo,CV,CV,ga,word,match,gar,sop,filler08,,,,,
96,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,tendencia,CVC,CV,ga,word,mismatch,gar,ten,filler06,,,,,
97,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,cimiento,CV,CV,ga,word,match,gar,cim,filler07,,,,,
98,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,solera,CV,CV,ga,word,match,gar,sol,filler03,,,,,
99,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,pujanza,CV,CV,ga,word,match,gar,puj,filler04,,,,,
100,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05,,,,,
101,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block03,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01,,,,,
103,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05,,,,,
104,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,garventa,CVC,CV,ga,nonword,mismatch,gar,gar,critical,,,,,
105,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,nulese,CV,CV,ga,nonword,match,gar,nul,filler03,,,,,
106,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01,,,,,
107,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
108,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06,,,,,
109,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02,,,,,
110,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
111,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block11,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09,,,,,
113,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,piltrafa,CVC,CVC,jor,word,match,jor,pil,filler04,,,,,
114,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
115,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05,,,,,
116,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
117,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01,,,,,
118,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,joroba,CV,CVC,jor,word,mismatch,jor,jor,critical,,,,,
119,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
120,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
121,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block06,venganza,CVC,CVC,jor,word,match,jor,ven,filler02,,,,,
123,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02,,,,,
124,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06,,,,,
125,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01,,,,,
126,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,dusnuente,CVC,CV,ga,nonword,mismatch,gar,dus,filler03,,,,,
127,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
128,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05,,,,,
129,29,Hombre,Estados Unidos,Estados Unidos,Estados Unidos,Doctorado,inglés,inglés,5e27868c5cbbcc0b3599574b,2020-07-24_00h12.15.369,lemma_segmentation,Win32,5f1a5f3a54f4e015fb9cc740,block09,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
