,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,segRespRT,exp_pres_order,corrAns
93,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,joroba,CV,CVC,jor,word,mismatch,jor,jor,critical,,,,,
94,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
95,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
96,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03,,,,,
97,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05,,,,,
98,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,piltrafa,CVC,CVC,jor,word,match,jor,pil,filler04,,,,,
99,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01,,,,,
100,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
101,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block06,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
103,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block09,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
