,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05,,,,,
94,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
95,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09,,,,,
96,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06,,,,,
97,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,garele,CV,CV,ga,nonword,match,gar,gar,critical,,,,,
98,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,dusnuente,CVC,CV,ga,nonword,mismatch,gar,dus,filler03,,,,,
99,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02,,,,,
100,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01,,,,,
101,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block09,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
103,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
104,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
105,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
106,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
107,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
108,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
109,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
110,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,jorteda,CVC,CVC,jor,nonword,match,jor,jor,critical,,,,,
111,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block16,tanera,CV,CVC,jor,nonword,mismatch,jor,tan,filler08,,,,,
113,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,nulese,CV,CV,ga,nonword,match,gar,nul,filler03,,,,,
114,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,garventa,CVC,CV,ga,nonword,mismatch,gar,gar,critical,,,,,
115,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07,,,,,
116,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06,,,,,
117,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08,,,,,
118,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05,,,,,
119,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09,,,,,
120,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01,,,,,
121,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block11,numete,CV,CV,ga,nonword,match,gar,num,filler04,,,,,
123,57,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ebcb23a12a15210197d1d00,2020-07-23_23h20.07.984,lemma_segmentation,Win32,5f1a7d188dd4da192b51254b,block07,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
