,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
94,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
95,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
96,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical,,,,,
97,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
98,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
99,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
100,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08,,,,,
101,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
103,28,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,inglés,inglés,5ee9201596dd421333942d06,2020-07-24_13h23.10.718,lemma_segmentation,Win32,5f1b2680703c38110be09a75,block10,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06,,,,,
