,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,exp_pres_order,corrAns,segRespRT
93,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08,,,,,
94,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01,,,,,
95,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07,,,,,
96,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,garventa,CVC,CVC,gar,nonword,match,gar,gar,critical,,,,,
97,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
98,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,sucema,CV,CVC,gar,nonword,mismatch,gar,suc,filler03,,,,,
99,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09,,,,,
100,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02,,,,,
101,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block15,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06,,,,,
103,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04,,,,,
104,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
105,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08,,,,,
106,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
107,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
108,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
109,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
110,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
111,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block14,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical,,,,,
113,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,jornada,CVC,CVC,jor,word,match,jor,jor,critical,,,,,
114,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09,,,,,
115,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,secuela,CV,CVC,jor,word,mismatch,jor,sec,filler04,,,,,
116,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06,,,,,
117,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07,,,,,
118,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,venganza,CVC,CVC,jor,word,match,jor,ven,filler02,,,,,
119,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01,,,,,
120,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08,,,,,
121,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block08,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03,,,,,
123,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,cividra,CV,CV,jo,nonword,match,jor,civ,filler02,,,,,
124,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,joruma,CV,CV,jo,nonword,match,jor,jor,critical,,,,,
125,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05,,,,,
126,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08,,,,,
127,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06,,,,,
128,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07,,,,,
129,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01,,,,,
130,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,bimina,CV,CV,jo,nonword,match,jor,bim,filler09,,,,,
131,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block10,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03,,,,,
133,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07,,,,,
134,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09,,,,,
135,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05,,,,,
136,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,tanera,CV,CVC,jor,nonword,mismatch,jor,tan,filler08,,,,,
137,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03,,,,,
138,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02,,,,,
139,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01,,,,,
140,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,jorteda,CVC,CVC,jor,nonword,match,jor,jor,critical,,,,,
141,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block16,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06,,,,,
143,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block03,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05,,,,,
144,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block03,cimiento,CV,CV,ga,word,match,gar,cim,filler07,,,,,
145,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block03,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01,,,,,
146,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02,,,,,
147,36,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5f13863cc6197238777ba81e,2020-07-23_13h32.08.176,lemma_segmentation,MacIntel,5f19f3754428d90be72a37b5,block03,tiniebla,CV,CV,ga,word,match,gar,tin,filler09,,,,,
