Year,Title,Author,Experiment,Participant Language,Experiment Language,Research Question,Methodology,Task,Main Findings,Lexical Access or Segmentation,Stimuli List Given
1959, Attention in dichotic listening: Affective cues and the influence of instructions,"Moray, N. (1959)",1,English,English,What spoken input from a rejected message (one that the listener is actively ignoring) be rcognized?,Shadowing,The listener was listening to a message in one and repeating the information aloud (shadowing). However a list of 7 words was repeated 35 times during the process in the other ear at equal volume.,"1. The participants could identify an less than 2 of the 7 words as averaged by the group.
2. The content of the rejected message was unrecognizable even though they could identify that an alternative message was being delivered in the other ear.",,No
1959, Attention in dichotic listening: Affective cues and the influence of instructions,"Moray, N. (1959)",2,English,English,What spoken input from a rejected message (one that the listener is actively ignoring) be rcognized?,Shadowing,The listener was listening to short passages of fiction in one ear and repeating them aloud. The rejected message presented in the other ear at times had instructions to the participant (50% prefernced with the participants name and 50% were not).,"1. When the instructions began with the participants name, the subjects were more likely to follow the instructions being given in the rejected message. Otherwise the instructions were generally ignored.
2. A person's name seems to be able to pass through the block the participant has set up.",,No
1959, Attention in dichotic listening: Affective cues and the influence of instructions,"Moray, N. (1959)",3,English,English,What spoken input from a rejected message (one that the listener is actively ignoring) be rcognized?,Shadowing,The listener shadowed one message while numbers were inserted at different locations of the rejected message. One group was told focus on content while another group was told to focus only on numbers in the message.,"1. Participants did not respond differently from one another with respect to the number of digits recalled.
2. Neutral information cannot pass through the block and the person's name appears to not be neutral as it has been found to pass through the block of rejected message.",,No
1965, The Psychological Reality of Linguistic Segments,"Fodor, J. A., & Bever, T. G. (1965)",1,English,English,Does the unit of speech perction correspond to syntactic constituents?,Direct Elicitation,"Participants listened to a sentence and transcribed. In addition, they marked on their transcription the location of a click that was also presented auditorily.","1. Length of sentence did not contribute to more errors.
2. Easier to indentify placement of interrupting sound when it fell at major syntactic breaks than when it falls within a syntactic constintuent.",,No
1970, The nonperceptual reality of the phoneme,"Savin, H. B., & Bever, T. G. (1970)",1,English,English,Are phonemes or syllables identified faster?,Monitoring,Participants pressed key for phoneme target /b/ (regardless of rest of syllbale or pressed key for syllable target (target  syllable presented auditorily and quasi transcribed form) while listening to nonsense syllable lists that followed English phonotactic rules.,"1. Syllable target trials had faster RTs than phoneme target trials.
** no foil trials included in this task (i.e. no syllables started with /p/ or /v/.",Segmentation,No
1970, The nonperceptual reality of the phoneme,"Savin, H. B., & Bever, T. G. (1970)",2,English,English,Could results in Experiment 1 be an artefact of experiment design because listeners knew exactly what type of /b/ they were listening for since acoustic shape differs dramatically based on following vowel?,Monitoring,Participants pressed key for phoneme target /s/ (regardless of rest of syllbale or pressed key for syllable target (target  syllable presented auditorily and quasi transcribed form) while listening to nonsense syllable lists that followed English phonotactic rules.,"1. Syllable target trials had faster RTs than phoneme target trials, but differences in RTs was less for /s/ than /b/ trials.
2. Syllable inital phonemes are not identified before the syllable or word that contains them is identified.
** no foil trials included in this task (i.e. no syllables started with /z/ or /ç/.",Segmentation,No
1970, The nonperceptual reality of the phoneme,"Savin, H. B., & Bever, T. G. (1970)",3,English,English,Is the difference between /s/ and /b/ RTs due to identification difficulties with the following vowel?,Monitoring,"The task was the same as before, but tape included /b/ and /s/ targets and vowel in target syllable was always /æ/.","1. Participants responded slower to vowel targets than syllable targets.
2. Following vowel identification is not necessary to identify preceeding consonant.
** no foil trials (i.e. no preceeding syllable contained vowel /a/)",Segmentation,No
1973," On the psychological reality of the phoneme: Perception, identification, and consciousness","Foss, D. J., & Swinney, D. A. (1973)",1,English,English,Are two-syllable words responded to faster than monosyllabic words?,Monitoring,Participants listened to lists of two-syllable real words and monitored for syllable or word level targets where half the targets contained initial syllable with meaning (Group 1) and the other half did not (Group 2).,"1. Two-syllable words responded to faster than monosyllabic words.
2. Meaning or no-meaning of initial syllable was insignificant.
3. Significantly more omitted responses in syllable targets than word targets.",,No
1973," On the psychological reality of the phoneme: Perception, identification, and consciousness","Foss, D. J., & Swinney, D. A. (1973)",2,English,English,Are phonemes identified faster or slower than syllable or two-syllable word targets?,Monitoring,"Participants were split into three groups for counterbalancing purposes. Every group monitored for all three types of targets (phoneme, initial syllable and two-syllable word) and heard exactly the same experimental lists.","1. Phoneme identified slower than syllable and word targets.
2. Syllable targets again identified slower than word targets.
3. Meaning of initial syllable again not significant.",,No
1973," The perceptual reality of phonemes, syllables, words, and sentences","McNeill, D., & Lindig, K. (1973)",1,English,English,"Are previous studies RTs difference an artefact? In all cases, slower RTs were found when linguistic level mismatches occurred.",Monitoring,"Four groups of subjects given a target to monitor for (phoneme, syllable, word or sentence). All groups completed their block and 3 other non-blocks (always matching—target and carriers had same linguistic level.) ","1. Faster RTs for matched linguistic levels than mis-matched linguistic levels.
2. Increase in RTs correlated with distance of linguistic mismatch (i.e. phoneme–sentence longer RT than phoneme–word and phoneme–syllable)
3. Trend of slower RTs in downward searches compared to upward searches, but not statistically significant.",,No
