Author,Experiment,Intial_unstressed_effect,Intial_stressed_effect,Min_Cut_ms,Max_Cut_ms,Data_removed_percent,CV_match_mean,CV_mismatch_mean,CVC_match_mean,CVC_mismatch_mean,Target_resp_adv,Word_resp_adv
"Savin, H. B., & Bever, T. G. (1970)",1,,,,,,,,,,,
"Savin, H. B., & Bever, T. G. (1970)",2,,,,,,,,,,,
"Savin, H. B., & Bever, T. G. (1970)",3,,,,,,,,,,,
"Foss, D. J., & Swinney, D. A. (1973)",1,,,,,,,,,,,
"Foss, D. J., & Swinney, D. A. (1973)",2,,,,,,,,,,,
"McNeill, D., & Lindig, K. (1973)",1,,,,,,,,,,,
"Healy, A. F., & Cutting, J. E. (1976)",1,,,,,,,,,,,
"Healy, A. F., & Cutting, J. E. (1976)",2,,,,,,,,,,,
"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)",1,Yes,Not Tested,100,1000,3,352,371,356,378,,
"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)",2,,,,,,,,,,,
"Segui, J., Frauenfelder, U., & Mehler, J. (1981)",1,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",1,Not Tested,No,100,1000,5,456,502,514,448,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",2,No,Not Tested,100,1000,5,431,471,500,419,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",3,,,100,1000,1,391,399,393,370,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)",4,Not Tested,Yes,100,1000,1,448,467,440,457,,
"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)",4,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",1,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",2,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",3,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",4,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",5,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",6,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)",7,,,,,,,,,,,
"Norris, D., & Cutler, A. (1988)",1,,,,,,,,,,,
"Pitt, M. A., & Samuel, A. G. (1990)",1,,,,,,,,,,,
"Pitt, M. A., & Samuel, A. G. (1990)",2,,,,,,,,,,,
"Pitt, M. A., & Samuel, A. G. (1990)",3,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)",1,,,,,,,,,,,
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)",2,,,,,,,,,,,
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",1,Yes,No,100,1000,2.5,,,,,,
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",2,No,No,100,1000,2.5,,,,,,
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",3,Yes,No,300,1300,5,,,,,,
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",0,Yes,Not Tested,,,,618,642,636,647,No,No
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",1,Yes,Not Tested,200,2000,3,556,609,565,602,No,No
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",2,Not Tested,No,200,2000,,419,426,397,398,CVC,No
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",3,No,Not Tested,200,2000,,397,411,385,379,CVC,No
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",4,Not Tested,No,200,2000,,541,521,509,527,No,No
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",5,No,Not Tested,200,2000,,469,524,523,489,No,CV
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",1,,,,,,,,,,,
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",2,,,,,,,,,,,
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",3,,,,,,,,,,,
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",4,,,,,,,,,,,
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",5,,,,,,,,,,,
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",1,,,,,,,,,,,
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",2,,,,,,,,,,,
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",3,,,,,,,,,,,
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",4,,,,,,,,,,,
