participant,Target,Carrier,RTmsec,trialTarget,trialStimuli
part01,CV,CVC,1002.23,ga,ganchillo
part01,CVC,CVC,618.97,pes,pestaña
part01,CVC,CV,868.17,per,pereza
part01,CVC,CV,634.98,mor,morera
part01,CV,CVC,735.85,mu,murmullo
part01,CV,CV,868.36,jo,joroba
part01,CV,CV,785.46,cu,culebra
part01,CVC,CVC,868.24,cen,centavo
part01,CVC,CV,634.2,vol,volante
part01,CV,CV,619.05,ba,balada
part01,CV,CVC,1017.71,li,linterna
part01,CV,CVC,884.96,ca,castillo
part01,CVC,CV,984.74,pal,paloma
part01,CVC,CVC,734.94,mon,montaña
part01,CV,CVC,652.57,ca,campana
part01,CVC,CV,769.68,gar,garaje
part01,CVC,CV,818.5,cor,corona
part01,CV,CVC,885.28,co,costilla
part01,CVC,CVC,785.14,ros,rosquilla
part01,CVC,CVC,685.87,pas,pastilla
part01,CVC,CVC,602.2,lim,limpieza
part01,CV,CV,902.15,ce,cereza
part01,CV,CV,1250.93,co,coraje
part02,CV,CVC,752.26,ga,ganchillo
part02,CVC,CVC,701.83,pes,pestaña
part02,CVC,CV,618.7,per,pereza
part02,CVC,CV,735.33,mor,morera
part02,CV,CVC,651.82,mu,murmullo
part02,CV,CV,636.3,jo,joroba
part02,CV,CV,651.79,cu,culebra
part02,CVC,CVC,586.27,cen,centavo
part02,CVC,CV,519.98,vol,volante
part02,CV,CV,652.23,ba,balada
part02,CV,CVC,869.25,li,linterna
part02,CV,CV,867.1,bo,bolero
part02,CV,CVC,469.8,ca,castillo
part02,CVC,CV,784.96,pal,paloma
part02,CVC,CVC,768.53,mon,montaña
part02,CV,CVC,1081.65,ca,campana
part02,CVC,CV,635.68,gar,garaje
part02,CVC,CV,585.98,cor,corona
part02,CV,CVC,602.99,co,costilla
part02,CVC,CVC,601.98,ros,rosquilla
part02,CVC,CVC,519.99,pas,pastilla
part02,CVC,CVC,486.58,lim,limpieza
part02,CV,CV,501.87,ce,cereza
part02,CV,CV,901.8,co,coraje
part03,CVC,CVC,586.75,gan,ganchillo
part03,CV,CVC,586.35,pe,pestaña
part03,CV,CV,586.29,pe,pereza
part03,CV,CV,701.92,mo,morera
part03,CVC,CVC,586.12,mur,murmullo
part03,CVC,CV,785.38,jor,joroba
part03,CVC,CV,835.64,cul,culebra
part03,CV,CVC,602.14,ce,centavo
part03,CV,CV,717.55,vo,volante
part03,CVC,CV,635.27,bal,balada
part03,CVC,CVC,486.73,lin,linterna
part03,CVC,CV,535.25,bol,bolero
part03,CVC,CVC,535.69,cas,castillo
part03,CV,CV,535.28,pa,paloma
part03,CV,CVC,636.12,mo,montaña
part03,CVC,CVC,568.47,cam,campana
part03,CV,CV,585.32,co,corona
part03,CVC,CVC,602.42,cos,costilla
part03,CV,CVC,719.05,ro,rosquilla
part03,CV,CVC,685.3,pa,pastilla
part03,CV,CVC,619.94,li,limpieza
part03,CVC,CV,652.99,cer,cereza
part03,CVC,CV,669.07,cor,coraje
part04,CV,CVC,885.27,pe,pestaña
part04,CV,CV,720.03,pe,pereza
part04,CV,CV,519.74,mo,morera
part04,CVC,CVC,653.24,mur,murmullo
part04,CVC,CV,552.44,jor,joroba
