participant,Target,Carrier,RTmsec,trialTarget,trialStimuli
part01,CV,CVC,1002,ga,ganchillo
part01,CVC,CVC,619,pes,pestaña
part01,CVC,CV,868,per,pereza
part01,CVC,CV,635,mor,morera
part01,CV,CVC,736,mu,murmullo
part01,CV,CV,868,jo,joroba
part01,CV,CV,785,cu,culebra
part01,CVC,CVC,868,cen,centavo
part01,CVC,CV,634,vol,volante
part01,CV,CV,619,ba,balada
part01,CV,CVC,1018,li,linterna
part01,CV,CVC,885,ca,castillo
part01,CVC,CV,985,pal,paloma
part01,CVC,CVC,735,mon,montaña
part01,CV,CVC,653,ca,campana
part01,CVC,CV,770,gar,garaje
part01,CVC,CV,818,cor,corona
part01,CV,CVC,885,co,costilla
part01,CVC,CVC,785,ros,rosquilla
part01,CVC,CVC,686,pas,pastilla
part01,CVC,CVC,602,lim,limpieza
part01,CV,CV,902,ce,cereza
part01,CV,CV,1251,co,coraje
part02,CV,CVC,752,ga,ganchillo
part02,CVC,CVC,702,pes,pestaña
part02,CVC,CV,619,per,pereza
part02,CVC,CV,735,mor,morera
part02,CV,CVC,652,mu,murmullo
part02,CV,CV,636,jo,joroba
part02,CV,CV,652,cu,culebra
part02,CVC,CVC,586,cen,centavo
part02,CVC,CV,520,vol,volante
part02,CV,CV,652,ba,balada
part02,CV,CVC,869,li,linterna
part02,CV,CV,867,bo,bolero
part02,CV,CVC,470,ca,castillo
part02,CVC,CV,785,pal,paloma
part02,CVC,CVC,769,mon,montaña
part02,CV,CVC,1082,ca,campana
part02,CVC,CV,636,gar,garaje
part02,CVC,CV,586,cor,corona
part02,CV,CVC,603,co,costilla
part02,CVC,CVC,602,ros,rosquilla
part02,CVC,CVC,520,pas,pastilla
part02,CVC,CVC,487,lim,limpieza
part02,CV,CV,502,ce,cereza
part02,CV,CV,902,co,coraje
part03,CVC,CVC,587,gan,ganchillo
part03,CV,CVC,586,pe,pestaña
part03,CV,CV,586,pe,pereza
part03,CV,CV,702,mo,morera
part03,CVC,CVC,586,mur,murmullo
part03,CVC,CV,785,jor,joroba
part03,CVC,CV,836,cul,culebra
part03,CV,CVC,602,ce,centavo
part03,CV,CV,718,vo,volante
part03,CVC,CV,635,bal,balada
part03,CVC,CVC,487,lin,linterna
part03,CVC,CV,535,bol,bolero
part03,CVC,CVC,536,cas,castillo
part03,CV,CV,535,pa,paloma
part03,CV,CVC,636,mo,montaña
part03,CVC,CVC,568,cam,campana
part03,CV,CV,585,co,corona
part03,CVC,CVC,602,cos,costilla
part03,CV,CVC,719,ro,rosquilla
part03,CV,CVC,685,pa,pastilla
part03,CV,CVC,620,li,limpieza
part03,CVC,CV,653,cer,cereza
part03,CVC,CV,669,cor,coraje
part04,CV,CVC,885,pe,pestaña
part04,CV,CV,720,pe,pereza
part04,CV,CV,520,mo,morera
part04,CVC,CVC,653,mur,murmullo
part04,CVC,CV,552,jor,joroba
part04,CVC,CV,536,cul,culebra
part04,CV,CVC,670,ce,centavo
part04,CV,CV,503,vo,volante
part04,CVC,CV,620,bal,balada
part04,CVC,CVC,650,lin,linterna
part04,CVC,CV,569,bol,bolero
part04,CVC,CVC,487,cas,castillo
part04,CV,CV,656,pa,paloma
part04,CV,CVC,786,mo,montaña
part04,CVC,CVC,587,cam,campana
part04,CV,CV,852,ga,garaje
part04,CV,CV,620,co,corona
part04,CVC,CVC,719,cos,costilla
part04,CV,CVC,799,ro,rosquilla
part04,CV,CVC,603,pa,pastilla
part04,CV,CVC,936,li,limpieza
part04,CVC,CV,949,cer,cereza
part04,CVC,CV,738,cor,coraje
part05,CVC,CV,520,cen,ceniza
part05,CVC,CV,802,pas,pasaje
part05,CV,CVC,636,ba,baldosa
part05,CVC,CV,653,mon,moneda
part05,CVC,CV,619,lim,limosna
part05,CV,CV,836,ca,camisa
part05,CV,CVC,619,co,corbata
part05,CV,CV,569,li,linaje
part05,CVC,CVC,503,mor,morcillo
part05,CVC,CVC,633,gar,garganta
part05,CV,CV,620,mu,muralla
part05,CV,CV,586,co,cosecha
part05,CV,CVC,903,bo,bolsillo
part05,CVC,CVC,553,vol,voltaje
part05,CVC,CVC,587,per,permiso
part05,CV,CVC,716,cu,culpable
part05,CVC,CV,672,pes,peseta
part05,CVC,CVC,535,pal,palmera
part05,CV,CVC,570,ce,cerveza
part05,CV,CV,637,ca,casilla
part05,CV,CVC,535,jo,jornada
part05,CV,CV,619,ga,ganancia
part05,CVC,CV,586,ros,rosario
part05,CVC,CVC,719,cor,corteza
part06,CVC,CV,1069,cen,ceniza
