participant,Word,Initial_Syllable,Resp_Corr,RTmsec
part01,muralla,CV,Yes,950
part01,camisa,CV,Yes,619
part01,ceniza,CV,Yes,536
part01,jornada,CVC,Yes,734
part01,corteza,CVC,Yes,719
part01,culpable,CVC,Yes,469
part01,limosna,CV,Yes,450
part01,pasaje,CV,Yes,403
part01,cosecha,CV,Yes,435
part01,peseta,CV,Yes,619
part01,ganancia,CV,Yes,802
part01,garganta,CVC,Yes,369
part01,baldosa,CVC,Yes,369
part01,rosario,CV,Yes,416
part01,palmera,CVC,Yes,303
part01,casilla,CV,Yes,302
part01,voltaje,CVC,Yes,352
part01,moneda,CV,Yes,352
part01,cerveza,CVC,Yes,336
part01,linaje,CV,Yes,402
part01,corbata,CVC,Yes,651
part01,morcillo,CVC,Yes,602
part01,permiso,CVC,Yes,502
part01,bolsillo,CVC,Yes,584
part02,baldosa,CVC,Yes,933
part02,cosecha,CV,Yes,735
part02,muralla,CV,Yes,818
part02,camisa,CV,Yes,702
part02,palmera,CVC,Yes,519
part02,culpable,CVC,Yes,502
part02,corteza,CVC,Yes,752
part02,cerveza,CVC,Yes,452
part02,morcillo,CVC,Yes,602
part02,rosario,CV,Yes,616
part02,garganta,CVC,Yes,516
part02,peseta,CV,Yes,619
part02,casilla,CV,Yes,616
part02,moneda,CV,Yes,502
part02,ceniza,CV,Yes,702
part02,linaje,CV,Yes,485
part02,corbata,CVC,Yes,385
part02,voltaje,CVC,Yes,502
part02,jornada,CVC,Yes,585
part02,limosna,CV,Yes,552
part02,ganancia,CV,Yes,719
part02,pasaje,CV,Yes,469
part02,bolsillo,CVC,Yes,435
part02,permiso,CVC,Yes,350
part03,linaje,CV,Yes,650
part03,voltaje,CVC,Yes,419
part03,cosecha,CV,No,1133
part03,baldosa,CVC,Yes,835
part03,muralla,CV,Yes,619
part03,palmera,CVC,Yes,618
part03,casilla,CV,Yes,452
part03,culpable,CVC,Yes,386
part03,peseta,CV,Yes,785
part03,ceniza,CV,Yes,419
part03,garganta,CVC,Yes,752
part03,rosario,CV,Yes,418
part03,corteza,CVC,Yes,402
part03,cerveza,CVC,Yes,402
part03,limosna,CV,Yes,685
part03,moneda,CV,Yes,702
part03,bolsillo,CVC,Yes,536
part03,corbata,CVC,Yes,318
part03,morcillo,CVC,Yes,735
part03,camisa,CV,Yes,785
part03,permiso,CVC,Yes,602
part03,jornada,CVC,Yes,635
part03,ganancia,CV,Yes,818
part03,pasaje,CV,Yes,702
part04,baldosa,CVC,Yes,882
part04,culpable,CVC,Yes,403
part04,muralla,CV,Yes,752
part04,bolsillo,CVC,Yes,87
part04,linaje,CV,Yes,1632
part04,voltaje,CVC,Yes,619
part04,permiso,CVC,Yes,436
part04,rosario,CV,Yes,419
part04,corteza,CVC,Yes,286
part04,ganancia,CV,Yes,1250
part04,corbata,CVC,Yes,319
part04,cerveza,CVC,Yes,69
part04,cosecha,CV,Yes,1185
part04,morcillo,CVC,Yes,686
part04,peseta,CV,Yes,685
part04,palmera,CVC,Yes,303
part04,garganta,CVC,Yes,303
part04,limosna,CV,Yes,569
part04,casilla,CV,Yes,685
part04,jornada,CVC,Yes,303
part04,camisa,CV,Yes,303
part04,pasaje,CV,Yes,353
part04,moneda,CV,Yes,536
part04,ceniza,CV,Yes,353
part05,murmullo,CVC,Yes,1052
part05,coraje,CV,Yes,934
part05,morera,CV,Yes,935
part05,rosquilla,CVC,Yes,682
part05,culebra,CV,Yes,1001
part05,limpieza,CVC,Yes,917
part05,cereza,CV,Yes,1035
part05,paloma,CV,Yes,952
part05,linterna,CVC,Yes,536
part05,ganchillo,CVC,Yes,566
part05,castillo,CVC,Yes,736
part05,garaje,CV,Yes,420
part05,pestaña,CVC,Yes,535
part05,centavo,CVC,Yes,835
part05,costilla,CVC,Yes,699
part05,joroba,CV,Yes,902
part05,pastilla,CVC,Yes,1068
part05,bolero,CV,Yes,901
part05,volante,CV,Yes,449
part05,balada,CV,Yes,469
part05,campana,CVC,Yes,419
part05,montaña,CVC,Yes,401
part05,pereza,CV,Yes,718
part05,corona,CV,Yes,487
part06,rosquilla,CVC,Yes,1201
part06,pestaña,CVC,Yes,835
part06,pastilla,CVC,Yes,1051
part06,bolero,CV,Yes,1234
part06,centavo,CVC,Yes,901
part06,balada,CV,Yes,1167
part06,ganchillo,CVC,Yes,435
part06,culebra,CV,Yes,750
part06,cereza,CV,Yes,1034
part06,joroba,CV,Yes,1067
part06,coraje,CV,Yes,767
